lat,lng,city,state,date,specs,shape,duration
32.4673625,88.60226349999999,Topton,MS,12/28/93,seconds to us are hrs to them.the 5th alien or the mantis w/flies eyes.have others seen it ?????,N/A,5 min.
39.0067081,91.3551564,Bellflower,MO,12/24/93,"Strange glowing lights hover and then streak across the night sky in Bellflower, MO",Light,5 minutes max
34.442036,118.610512,Castaic+Junction,CA,12/23/93,Update for report of sighting on 12/02/93,Oval,3 minutes
41.2411897,77.00107860000001,Williamsport,PA,12/20/93,"A triangular shape moving northeast,, non transparent, silent, it had three blue/white lights and  a red light .",Triangle,10 minutes
41.01602930000001,92.40830220000001,Ottumwa,IA,12/19/93,"1993 Evening Ufo sighting over Ottumwa, Iowa. Singular object splits in two, lights fly across sky.",Formation,8-10 seconds
34.456151,118.5713823,Valencia,CA,12/18/93,"Sighting: Valencia, Ca @ I-5 and 126 interchange.  Object in cloud hovers/manuevers then lightening bolt strikes at same location.",Oval,5 min
41.8439486,79.1450445,Warren,PA,12/15/93,"I was about 10 years old at the time, I remember playing outside in the snow, and eventually laying on my back looking up at a clear, s",Triangle,15 Mins
33.5422475,117.7831104,Laguna+Beach,CA,12/15/93,1993 Observation of object moving at extreme angles and speed off Catalina Island,Oval,45 seconds
44.51915899999999,88.019826,Green+Bay,WI,12/15/93,Low circular light/flying object and multi-directional changing lights in the sky,Disk,1-2 minutes
26.8003398,80.0664305,Lake+Park,FL,12/14/93,I saw a ufo flap Dec. of 1993,Other,3sitg over 2wks
35.7454071,81.6848188,Morganton,NC,12/10/93,Red Object over my backyard.,Circle,20 seconds
41.7003713,73.9209701,Poughkeepsie,NY,12/5/93,Five lights over my car in the Catskills.,Unknown,10 minutes
32.735687,97.10806559999999,Arlington,TX,12/1/93,"Enormous UFO Arlington, Texas",Oval,5 to 10 minutes
42.8006441,71.30422899999999,Windham,NH,12/1/93,Lights inside a cloud-like covering over a pond. 500 Lights On Object0: Yes,Other,1/2 hour but not sure
30.4582829,91.1403196,Baton+Rouge,LA,11/23/93,"I saw 3 orange illuminated triangles flying very low between 2 apartment buildings, just above the trees.",Triangle,20 to 30 seconds
64.8377778,147.7163889,Fairbanks,AK,11/23/93,"Me and one of my friends were coming home from sledding when we saw a mettalic, cigar shaped, UFO hovering in the air emitting a blue b",Cigar,3 minutes
46.9166669,67.64999999999999,Lake+Edward+(Canada),NB,11/20/93,"Reddish-orange sphere the size of a quater held at arm's length came out of nowhere, flying very fast in a south-westerly direction",Sphere,10 seconds
39.60677889999999,75.83327179999999,Elkton,MD,11/20/93,I was in my deer stand when i seen a light it came down wright over top of me.A beam of light came out when it left it was allmost day ,Triangle,30 minutes
41.8929942,70.9107708,Middleborough,MA,11/17/93,"Multiple lights moved across a field before dawn, 50 minutes of this.  As one approached, I returned to truck for camera and saw  brigh",Light,50 minutes
42.8027753,102.2037736,Gordon,NE,11/15/93,"A very large triangle shape(black,soundless) with red lights at the corners wile traveling at night.",Triangle,1 Hour?
28.041117,99.3544787,Encinal+(northeast+of),TX,11/15/93,Large mother ship sighting and smaller UFO chased by military fighters.,Rectangle,1 hour
41.4961609,85.3766454,Rome+City,IN,11/15/93,Two eggshaped objects hovered in the sky then speed away.,Egg,3 minutes
