"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/00 23:59","Ybor","FL","Oval","20 Minutes","Large object above thousands... and only a few reacted.","2/18/01"
"12/31/00 23:45","Eagle River","WI","N/A","N/A","On 1/8/01 I submitted a report via your online report format regarding a sighting I witnessed over Anvil Lake in NE Wisconsin.In my rep","2/18/01"
"12/31/00 23:45","Eagle River","WI","Light","unsure","2 large pulsating stationary red/grn lights with  6 balls of light moving rapidly below  this,300ft away,","2/18/01"
"12/31/00 23:00","Grant Park","IL","Triangle","N/A","It was a very unusual experience that I've had.","1/11/02"
"12/31/00 23:00","Spirit Lake","IA","Disk","2 minutes","Flash of light","2/18/01"
"12/31/00 23:00","Fountain Hills","AZ","Unknown","15 seconds","Low flying black craft flies over my house, no lights, and seemed to be too low for comfort.","2/8/05"
"12/31/00 22:00","Capitola","CA","Triangle","2min.","large triangular shape white lights on sides very high unimaginabley fast off to the south toward Big Sur.","2/18/01"
"12/31/00 21:00","Anchorage","AK","Changing","4-6 hours","We could observe red lights dancing across the underside red lights were very bright and very active.","2/18/01"
"12/31/00 20:30","Lodi","WI","Unknown","1 hour","Strobing star","1/3/01"
"12/31/00 20:00","Pismo Beach","CA","Oval","20 minutes","THIS WAS NOT A PLANE OR HELICOPTER/","2/18/01"
"12/31/00 20:00","Pismo Beach","CA","Oval","20 minutes","GLOWING LIGHT OVER PIZMO BEACH PIER ON NEW YEAR'S EVE.","2/18/01"
"12/31/00 11:45","Chicago","IL","Disk","ufos","the ray of light and something going up.","1/11/02"
"12/31/00 04:00","Kingsville","TX","Light","unknown","Nocternal Visitation","1/3/01"
"12/30/00 22:00","San Francisco","CA","Triangle","6-8 seconds","Four of us witnessed a large triangular formation of lites moving westerly directly overhead.","1/3/01"
"12/30/00 22:00","San Francisco","CA","Formation","30 seconds","triangle formation, up to twenty objects headed north west over city to pacific- silent, fast","2/18/01"
"12/30/00 20:55","Calgary (Canada)","AB","Fireball","3-4 minutes","We videotaped a fireball crahing to earth....newsreporter &amp; scientist can't explain our footage..","2/18/01"
"12/30/00 10:00","Simi Valley","CA","Formation","10:10","2 lights flashing in some sort of pattern moving rapidly across the sky making sharp turns","2/18/01"
"12/29/00 23:30","Eufaula","OK","Disk","20 mins","UFO sighting southeast Oklahoma","2/18/01"
"12/29/00 22:00","Greenville","SC","Unknown","5-10 min.","high bright light travelling west, then stopped.","1/3/01"
"12/29/00 21:00","Albrightsville","PA","Other","10 mins","Two bright lights could be seen in distance over the mountain.","2/18/01"
"12/29/00 20:50","Franklin","NH","Disk","2 minutes","Erratically moving object in sky 12/29/00","7/26/02"
"12/29/00 20:30","Shasta Lake","CA","Disk","2149+","white light with a blue flare when moving","1/3/01"
"12/29/00 20:30","Garden Grove","CA","Chevron","5-6  seconds","Sharp V shape object, heading from Zenith toward West horizon, dim gray with evenly spaced white lights, appeared large at high altitud","1/3/01"
"12/29/00 20:00","Sisterdale","TX","Diamond","5 minutes","Diamond shaped object that huvered above with a very brite glow.(not lights)","2/18/01"
"12/29/00 19:34","Orleans (Canada)","ON","Circle","6 minutes","we were coming home from our chalet and we saw a total of seven crafts with bright red lights on them.","2/18/01"
"12/29/00 19:30","Berthoud Pass","CO","Triangle","5 minutes","Up close and stealth-like on the backside of Berthoud Pass, Colorado","3/13/12"
"12/29/00 16:10","Garden Grove","CA","Light","5-7 min","Observed high altitude single white light traveling from south to north over Orange County, California","1/3/01"
"12/29/00 09:00","El Campo","TX","Other","N/A","NO MODERN UFO I EVER SAW","2/18/01"
"12/28/00 19:10","Pasadena","CA","Fireball","2 sec","Bright green fireball travelling east to west over Pasadena, California at 7PM Pacific on 12/28/00","1/3/01"
"12/28/00 18:20","Carson","CA","Disk","20-30 seconds","Red disc shaped object over Los Angeles","1/3/01"
"12/28/00 18:00","Holyoke","MA","Diamond","45 sec","We saw a diamond shaped craft hovering over the dark valley in between Holyoke and Springfield, Mass","2/18/01"
"12/28/00 17:51","Monument Valley","UT","Other","20 SEC.","Adult male driving in a remote area of Monument Valley, southeastern UT, observed a star-sized blue-white light describing a path with","2/18/01"
"12/28/00 17:09","Houston","TX","Light","11 minutes","Bright, burning, descending small, narrow oval shaped light over s/sw sky in Houston, late afternoon/Dec 28, 00","1/3/01"
"12/28/00 12:15","Murphreesboro","TN","Flash",".30 seconds","Shiny speck of metal or something.","1/3/01"
"12/28/00 12:00","Mansfield","TX","Flash","6 seconds","Quick Flash","3/4/08"
"12/28/00 11:00","Cerrilillo","NM","Unknown","5-10 minutes","Secret Jet propulsion system seen in New Mexico Sky","1/3/01"
"12/28/00 04:00","Havre","MT","Disk","5 min","Toy top looking saucer","1/3/01"
"12/28/00 03:00","Bremerton","WA","Other","2 Hr 15 Min","Comet-like geo-stationary objects in vicinity of Ursa Major","1/3/01"
"12/27/00 22:10","Saco","ME","Triangle","3 minutes","It was hudge and had 7 lights on its under side and one big one in the front of it, there was no tail to this craft !!!!!!","1/3/01"
"12/27/00 15:00","Kea'au","HI","Sphere","5 -10 minutes","2 friends watch UFO watching us , disappears as we look through binoculars!","1/10/09"
"12/27/00 10:00","Santa Paula","CA","Light","30 sec","I observed a light move across the sky traveling northeast, at a very high rate of speed. I am possitive it was not a satelite or meteo","10/12/01"
"12/27/00 07:00","Imperial","AZ","Light","5 mins","lights zig zagged repeatedly, then would brake. lights higher than aircraft fly.","1/3/01"
"12/26/00 23:15","Prospect Park","PA","Oval","45 SEC OR LESS","PROSPECT PARK PA OVAL LIGHTS APPEAR ABOVE","1/3/01"
"12/26/00 21:00","Cranbrook (Canada)","BC","Circle","30 - 45 minutes","Soft lights in a large circle formation, turning counter clockwise, moved back and forth above a broken cloud cover.","1/3/01"
"12/26/00 18:30","Warren","VT","Fireball","5 seconds","meteor like object flashes upon impact with earth","1/3/01"
"12/26/00 18:30","Greenfiled","MA","Fireball","2-3 seconds","I was traveling north on Rte 91 home to VT on the evening of 12/26/00 at about 6:30 P.M. when I was outside of greenfield MA and saw wh","2/18/01"
"12/26/00 18:23","Brocton","MA","Oval","3 seconds","large green object seen in Brocton, Ma: at 6:23 p.m. on 12/26/00","1/3/01"
"12/26/00 18:20","Walpole","NH","Fireball","4-5 seconds","Neon green fireballs streak across southwestern New Hampshire skies.","2/18/01"
"12/26/00 18:20","Walpole","NH","Fireball","4-5seconds","Neon green fireballs over Cheshire County, New Hampshire.","1/3/01"
"12/26/00 18:00","Montreal (Canada)","PQ","Fireball","10 -20 second","falling object from the sky report please explain","2/18/01"
"12/25/00 23:30","??","VA","Unknown","4 hours","Highway incident","6/10/03"
"12/25/00 21:00","Phoenix","AZ","Unknown","unknown","police searching for downed aircraft found nothing after neighbors reported debri falling from aircraft.","1/3/01"
"12/25/00 20:30","Atlanta (Dunwoody)","GA","Light","few seconds","An orange/gold ball of light hovered for a second then shot off at incredible speed directly over I-285 from west to east.","2/18/01"
"12/25/00 19:15","Fallston","MD","Changing","45 min.","iT IS A VERY BRIGHT WHITE, BRIGHTER THAN ANY STAR, AND IT has LONG PROBES THAT JUT OUT FROM IT WHICH APPEAR TO HAVE RED LIGHTS ON THE E","3/16/01"
"12/25/00 19:00","Woodland","CA","Fireball","7 min","two fireballs moving swiftly then just hovering in the sky too bright and big and steady for an airplane then disappeared.","1/3/01"
"12/25/00 18:30","Buffalo","NY","Formation","1-3 MIN.","On 12/25/00 I witnessed a boomarang shaped object traveling quite fast in the sky, it's shape defined only by it's glowing white light","1/3/01"
"12/25/00 17:00","Canton","MI","Fireball","5 minutes","we  saw a fireball in the sky while we were eating christmas dinner.","2/18/01"
