"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/87 23:00","Woodbridge","VA","Sphere","5 seconds","Basketball sized neon orange/yellow spinning sphere no sound hovering on road and moved vertically in front of my windshield. 500 L","3/23/11"
"12/24/87 20:00","Exeter","RI","Rectangle","1 minute","UFO seen Christmas Eve 1987. Made sudden &quot;L&quot; shape turn unlike any known aircraft.","2/4/13"
"12/23/87 22:00","Ocala","FL","Triangle","two minutes","Strange transparent objec t with red lights at joints seen around 10 pm moving northeast very slowly.","7/1/02"
"12/20/87 17:15","Las Vegas (60-70 miles north-east of, Interstate 15 North)","NV","Light","3 - 4 minutes","Viewed pairs of red strobing lights extended across wide area of Nevada desert and watched as two F-15 fighter aircraft tried to interc","3/7/98"
"12/20/87 01:00","Tampa/Miami (on highway between)","FL","Unknown","15 minutes?","My family were visiting disney world Christmas of 1987.  Because the family was from Winnipeg Manitoba Canada, we were staying in Tampa","2/14/08"
"12/13/87 01:00","Mapelton","IL","Cone","00:24","2 cone craft seen from porch","12/9/03"
"12/12/87 21:00","Lake Ozark","MO","Cigar","10 minutes","3 vehicles traveling NNE to SSW at 25 mph or less. Bright white light on fromt of each. Large lights on sides. Large green tail light.","1/22/00"
"12/4/87 22:18","Roosevelt","AZ","Light","15 seconds","One light, then 2 lights west of Roosevelt, AZ observed by 2 adults camping.","4/17/15"
"12/4/87 20:42","Marlborough","MA","Light","3 minutes","15 deg. above the horizon W sky, viewed from Framingham, MA.  3 times brighter than Venus.  Stationary, slowly turned off in 2 sec..","3/26/15"
"11/27/87 17:30","El Paso","TX","Oval","30 seconds","A noiseless, round object with colorful bright lights, hovering in the desert of northeast El Paso Tx. by McGregor Range.","5/11/05"
"11/26/87 06:30","Tehachapi","CA","Unknown","8 minutes","Tehacipi, CA: Lights sighted and missing time noted.","12/16/05"
"11/23/87 23:00","Firebaugh","CA","Triangle","15-20 min","In late 1987 while driving south on I-5, I witnessed a UFO for approx 15-20 min.","9/2/05"
"11/23/87 19:45","Knoxville","TN","Chevron","20min","300 ft Flying wing followed by fighters, later observed by glowing ball.","10/30/06"
"11/20/87 21:30","Uvalde","TX","Circle","ABOUT 3 SECONDS","LIGHT SHOOTING STRAIGHT UP","11/20/01"
"11/17/87 06:00","Anchorage","AK","Light","3 min","Glowing ball of light","5/11/05"
"11/15/87 23:00","Crivitz","WI","Unknown","10 min.","green light spotted above trailer.Footsteps leading to trailer,door opened and footsteps came toward bdrm door.Door opened slightly,sha","1/28/99"
"11/15/87 22:00","Reedsville","WI","Triangle","8-10  min.","Get the hair to stop standing up on my neck ,This Was Too Real .","5/11/05"
"11/15/87 19:30","St. Petersburg","FL","Rectangle","2-3 min","The exact date is vague but I remember it being somewhere between Nov 1987-Feb 1988. I was heading northboud on 4th st N just north of","1/10/09"
"11/15/87 02:00","San Diego","CA","Flash","1 second","flash like daylight lit up everything for 1 second, not lightning","4/28/01"
"11/15/87 02:00","Gatineau (Canada)","QC","Triangle","45 min","The triangle was black as a hole in the night sky and as large as a football field.","7/13/05"
"11/10/87 22:30","Iola","KS","Light","45 seconds","Light over cattle pasture.","10/10/14"
"11/9/87 19:50","Nepean (Canada)","ON","Light","10 Minutes","4 spheres approaching 2 people, turning a rectangle of light over the vehicle, and up at 80 degrees  in spiral -white,quiet,fast","6/21/00"
"11/1/87 22:00","Lyons","CO","Oval","5-10 seconds","Large oval object with white glowing lights moves slowly above the car.","11/11/13"
"11/1/87 20:00","Daytona Beach","FL","Cylinder","1min","This cigarette shaped object spun without an axis of rotation!","5/11/05"
"11/1/87 04:00","Dallas","NC","Light","10 minutes","Bright light in window","12/19/03"
"10/31/87 18:30","Omaha (near)","AR","Triangle","15 minutes","Silent huge triangular ship flies right over highway 65 North.","1/16/14"
"10/30/87 22:00","Pleasant Hill","CA","Sphere","3 minutes","Close Encounter With Low-Flying Glowing Orange Orb","8/30/13"
"10/29/87 23:30","Kerens","TX","Circle","1 second","while facing E/NE saw a red ball just at the horizon. the object then streaked across the sky leaving a green laser looking tail that w","1/28/99"
"10/28/87 20:30","Las Cruces","NM","Changing","30 minutes","Las Cruces lights.","4/27/04"
"10/26/87 23:00","Jackson","WI","Formation","1 minute","3 reddish orange objects spotted in formation.","11/11/13"
"10/26/87 00:00","Fort Wayne","IN","Unknown","8 minutes","UFOs seen in Ft. Wayne Indiana and in Dayton Ohio on the same night in 1987","7/8/04"
"10/22/87 20:00","Portsmouth","NH","Cigar","20 minutes","Large silent black cigar shaped craft sighted over Pease AFB","5/2/14"
"10/15/87 22:30","Baker","MT","Light","5 to 10 min","bright light came out from behind a cloud and split off into 6 smaller lights leaving at a high speed","5/24/05"
"10/15/87 22:00","Eastchester","NY","Triangle","2 -3  minutes","huge dark dimly lit Triangle  slowly passes over  Platform Tennis  Courts in Eastchester NY","2/8/05"
"10/15/87 21:00","Osawatomie","KS","Other","2+ hours","Many colorful balls of light over Osawatomie to Canada","6/2/13"
"10/15/87 21:00","Itta Bena","MS","Circle","5 min","I saw a UFO one fall night in the shape of a golden circle.","11/4/02"
