lat,lng,city,state,date,specs,shape,duration
39.9611755,82.99879419999999,Columbus,OH,12/1/56,"A &quot;V&quot;  shape set of lights either on one large, silent aircraft, or 5 different aircraft flying in formation. No noise heard.",Formation,3-4 minutes
41.63844700000001,81.37416,Painsville/Willoughby/over+Lake+Erie,OH,11/27/56,11/12-1956 9/10PM Painesville/Willoughby OH over Lake Erie Rectangle  continuous void 5x9 black mirrored window like.,Rectangle,continuous
45.4646985,98.4864829,Aberdeen,SD,11/15/56,"Traveled south to north at a slow speed,(90deg. of arc in two min). Size of a half dollar coin at arms length, had a neon orange glow. ",Circle,2:00
37.9322662,87.8950267,Mt.+Vernon,IN,10/15/56,Clear night observation of lumenescent object leaving a trail from east to north.,Disk,7 to 8 seconds
28.9785947,96.6460877,Edna,TX,10/10/56,"My older brother and twin sister were leaving the only Edna theater at about 9 PM,...we had our bikes and I took a different route home",Circle,1/2 hour
43.3653585,72.1734388,Newport,NH,10/1/56,"Disk with glass center section, and flames behind the glass",Rectangle,5 minutes
33.6670615,93.5915665,Hope,AR,9/20/56,Sitting on a pond bank on sunny afternoon when 9 saucers appeared at 12:00 o'clock at a very high altitude.  They were silver in color,Circle,20 minutes
39.3342744,76.4394056,Middle+River,MD,9/15/56,three round blue-white disks in V formation moving from SE to NW,Circle,1 min
36.8507689,76.28587259999999,Norfolk,VA,9/9/56,"Unidentified Object Hovering over Interstate 264, Norfolk, Virginia",Cigar,1.5 minutes
32.37938159999999,86.1703612,Bradford,AL,8/1/56,moving sparkling white/ yellowish/orange/flat black sphere paused 20 feet over my head,Sphere,20 seconds
42.5000919,71.5828444,Harvard,MA,8/1/56,Lost time.,Unknown,2-3 seconds
40.50312,81.6409582,Sugarcreek,OH,7/15/56,I drove right underneath it with my truck.  There was a bright light emitting from the bottom of the saucer.  As soon as I went underne,Disk,30 seconds
44.427963,110.588455,Yellowstone+Park+(near+South+entrance),WY,7/15/56,Three year old boy witnesses from back the seat of a car the approach of three flying disks.,Disk,60 sec
38.5815719,121.4943996,Sacramento,CA,7/14/56,"Circular object, slow moving, disappeared, silvery contrail appeared as if the object wanted to be seen",Disk,7 minutes
53.544389,113.4909267,Edmondton+(Canada),AB,7/12/56,"Object approached Edmondton, Alberta Airports main hanger and flew over it low, slowly and silently.",Circle,20 minutes
37.68717609999999,97.33005299999999,Wichita,KS,7/12/56,"Small, Silent, Metalic, And Very , Very  Fast !",Unknown,9o sec.
42.3838426,83.33564240000001,Beatrice+(14+mi+SW+of),NE,7/1/56,Large pale silver dome seen over a hill and also near the house of SE Nebraska farm.,Other,2 minutes
29.7604267,95.3698028,Houston,TX,6/30/56,N/A,Triangle,10-15 minutes
40.4862157,74.4518188,New+Brunswick,NJ,6/30/56,"Four Saucers, over the City of New Brunswick, NJ, in the summer of 1956",Disk,approx. 10 minutes
37.3058839,89.51814759999999,Cape+Girardeau,MO,6/30/56,Angular UFO sighted as a child,Diamond,5 minutew
40.1439985,75.1157286,Willow+Grove,PA,6/30/56,"Willow Grove Naval Air Station, PA.",Light,2 hrs.
36.9613356,120.0607176,Madera,CA,6/24/56,Half spherical object with portholes on the side.  Mid 1950's in Central California.  Day time.,Sphere,2 minutes
44.138013,77.38299959999999,Rossmore+(near+Belleville)+(Canada),ON,6/20/56,These two objects were 10 miles away and heard no noise and moved like they were powered by magnetic lines of force,Light,8-10 min.
39.1031182,84.5120196,Cincinnati,OH,6/16/56,"glass like,you could see threw,craft was 20 feet in front of me,as i stepped closer, a ramp out of the side of the craft opened up and",Disk,six hours
40.7282239,73.7948516,New+York+City+(Queens),NY,6/15/56,I looked into the darkened sky  and observed a light source that was moving in a circular motion.,Light,1 minute
39.5717796,75.46714229999999,Salem,NJ,6/15/56,"We walked out side during supper, woke up standing in the back yard, then I saw 5 of them  watching me.",Disk,1:08
36.1539816,95.99277500000001,Tulsa,OK,6/15/56,Mysterous Flash seen over Tulsa and as far as Dallas and Kansas City!,Flash,3 TO 5 MINS.
35.8778548,84.17113450000001,Farragut,TN,6/15/56,"Cigar shaped craft seen in Farragut, TN community",Cigar,~10 min
33.2000368,117.2425355,Vista,CA,6/15/56,"bright orange cigar shaped craft, at least 3 miles long, 1/2 mile wide.",Cigar,15-20 minutes
37.4418834,122.1430195,Palo+Alto,CA,6/15/56,"Fireball landing, and when inspection attempted, retreating.",Fireball,5 to 10 minutes
42.8534057,74.9854335,Richfield+Springs,NY,6/15/56,SIX CIGAR SHAPED UFO'S OVER UPSTATE NEW YORK LAKE IN 1956/57.,Cigar,2 min. aprox.
37.7749295,122.4194155,San+Francisco,CA,6/15/56,"I saw a football shaped, silver metalic object,very high,going very fast.",Other,2-3 min
27.973628,97.67610739999999,Edroy,TX,6/15/56,"Paralyzed and unable to talk, but could communicate mentally.",N/A,Don't know
41.0814447,81.51900529999999,Akron,OH,6/6/56,"Akron Ohio, 1956, Bright object similar to flying wing. 10 pm. See full description.",Other,30 seconds + -
38.40927560000001,80.5067528,Upper+Glade,WV,6/6/56,Close up sighting in rural West Virginia around 1956/7,Egg,5 minutes
35.1495343,90.0489801,Memphis,TN,6/1/56,"Object was glowing dull orange bent cylinder. Hovered noiselessly over RR tracks for a time, then took off straight up.",Cylinder,10-15 min.?
38.8119527,94.5318982,Belton,MO,6/1/56,THE EVENT WAS A PERSONAL CONTACT WITH AN ALIEN. SINCE I WAS ABOUT 6 YEARS OLD AND IT HAS BEEN A LONG TIME FORGIVE ME ANY DESCREPANCIES ,other,10min.
41.5973042,71.4122056,Quonset+Point,RI,6/1/56,Rows of saucer shaped lights touchng a beam of light from either side and rising straight up together.,Disk,20 minutes
34.774531,96.6783449,Ada,OK,5/17/56,This was a result of a prayer or telepathic request.  Seti is a load of crap.,Circle,20 Sec
40.79894729999999,81.378447,Canton,OH,5/1/56,"At first the silver disc was stationary. As it moved across the sky, it moved so rapidly, it could not have been man made.",Cigar,2 minutes
44.6116667,92.99916669999999,Hampton,MN,3/22/56,Commuting home from work during an ice storm I encountered a UFO.,Sphere,minutes
39.0067768,76.77913649999999,Bowie,MD,3/20/56,Unusual object seen from different viewpoints.,Disk,15 min.
38.232417,122.6366524,Petaluma,CA,3/1/56,Objects were several thousand feet in altitude and bounced around the sky basically overhead.  I was 17 years old at the time.  The Pet,Oval,30 minutes
26.1410147,81.76603399999999,Veigus+Island,FL,2/20/56,It was a saucer shaped object.,Disk,5 minutes
40.41895660000001,80.58951669999999,Weirton,WV,1/1/56,My Uncle Sam was driving to work very early one winter morning.  He lived down the street from my house.  As he approached my home in h,Disk,10 seconds
42.9017764,78.9721745,Fort+Erie+(Canada),ON,1/1/56,abduction and experimentation.,Unknown,unknown
