"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/01 23:40","Tulsa","OK","Light","5-10min","Slowly moving red (then orange) flickering light joined for a time by a faster moving white light.","1/11/02"
"12/31/01 23:20","Victoria (Canada)","BC","Disk","20 seconds","My wife and I observed a dark brown/black disk shaped object with a dome of sorts on its top.","1/11/02"
"12/31/01 21:37","Mission","SD","Unknown","21:37-23:34(estimate)","T WAS SHAPED LIKE NOTHING IVE EVER SAW, AND IT WAS SCARY AND COOL AT THE SAME TIME.","5/14/02"
"12/31/01 18:55","Pasadena","TX","Rectangle","1 second","Large rectangular craft seen New Year's Eve","1/11/02"
"12/31/01 15:00","Dallas","TX","Circle","several minutes","Perfect Circle UFO Spotted at 30,000 Feet","1/11/02"
"12/30/01 20:50","Baltimore","MD","Sphere","30 minutes","9 glowing orbs over Baltimore MD","2/4/13"
"12/30/01 18:30","Danville","VA","Triangle","20 minutes","A strange object hovered in the sky for approximately 10 minutes with a bright white light that pulsed fery slowly.","1/11/02"
"12/30/01 17:40","Clinton","MS","Triangle","5 minutes","Triangle with lights on each corner.","1/11/02"
"12/30/01 14:30","Las Vegas/Truth or Consequences (between)","NM","Disk","1 minute","small black disk flying fast in sunny NM sky","1/29/02"
"12/30/01 03:00","Bethpage","NY","Light","0300-0345","bright light being followed by fighter jet repeatedly for approx 45 minutes","1/11/02"
"12/29/01 23:59","Long Island City (Queens)","NY","Other","10 minutes maybe a little","Darting lights over NYC on 12/29/01","1/11/02"
"12/29/01 20:00","Ellicott City","MD","Fireball","4 seconds","A green fireball going parllel to the horizon at about 20 degrees. It then seemed to burnout. I immediately thought of it as just a sho","1/11/02"
"12/29/01 16:30","Port Angeles","WA","Other","6 to 10 minutes","Hugh black object(s) in sky","1/11/02"
"12/29/01 16:20","Port Angeles","WA","Changing","5 minutes","Large, black object(s) seen in the clouds above Port Angeles","1/11/02"
"12/29/01 03:00","Great Falls","MT","Triangle","4min","Large triangular craft observed over Great Falls Montana.","1/29/02"
"12/29/01 03:00","Great Falls","MT","Triangle","N/A","Triangle Craft and Cattle Mutilations","8/7/07"
"12/29/01 00:00","Richmond Hill (Canada)","ON","Disk","15","A soucer dissapearing infront of our very eyes","2/5/03"
"12/29/01 00:00","Long Island City (Queens)","NY","Other","5 minutes","Many moving star balls","1/11/02"
"12/28/01 21:45","Richardson","TX","Triangle","3 minutes","Triangular shape ship with red light on bottom moving a circular motion. Went very slowly.","1/11/02"
"12/28/01 18:30","Houston","TX","Light","10 seconds","Bright Light High in sky moving north to south","1/11/02"
