"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/28/93 01:00","Topton","MS","N/A","5 min.","seconds to us are hrs to them.the 5th alien or the mantis w/flies eyes.have others seen it ?????","9/2/05"
"12/24/93 21:00","Bellflower","MO","Light","5 minutes max","Strange glowing lights hover and then streak across the night sky in Bellflower, MO","5/24/05"
"12/23/93 12:00","Castaic Junction","CA","Oval","3 minutes","Update for report of sighting on 12/02/93","3/11/03"
"12/20/93 19:00","Williamsport","PA","Triangle","10 minutes","A triangular shape moving northeast,, non transparent, silent, it had three blue/white lights and  a red light .","11/8/03"
"12/19/93 18:00","Ottumwa","IA","Formation","8-10 seconds","1993 Evening Ufo sighting over Ottumwa, Iowa. Singular object splits in two, lights fly across sky.","3/4/08"
"12/18/93 13:00","Valencia","CA","Oval","5 min","Sighting: Valencia, Ca @ I-5 and 126 interchange.  Object in cloud hovers/manuevers then lightening bolt strikes at same location.","9/17/00"
"12/15/93 20:00","Warren","PA","Triangle","15 Mins","I was about 10 years old at the time, I remember playing outside in the snow, and eventually laying on my back looking up at a clear, s","4/27/07"
"12/15/93 17:00","Laguna Beach","CA","Oval","45 seconds","1993 Observation of object moving at extreme angles and speed off Catalina Island","5/24/05"
"12/15/93 02:00","Green Bay","WI","Disk","1-2 minutes","Low circular light/flying object and multi-directional changing lights in the sky","3/6/01"
"12/14/93 01:30","Lake Park","FL","Other","3sitg over 2wks","I saw a ufo flap Dec. of 1993","12/2/00"
"12/10/93 19:30","Morganton","NC","Circle","20 seconds","Red Object over my backyard.","10/31/03"
"12/5/93 01:00","Poughkeepsie","NY","Unknown","10 minutes","Five lights over my car in the Catskills.","6/12/02"
"12/1/93 14:00","Arlington","TX","Oval","5 to 10 minutes","Enormous UFO Arlington, Texas","5/15/06"
"12/1/93 02:30","Windham","NH","Other","1/2 hour but not sure","Lights inside a cloud-like covering over a pond. 500 Lights On Object0: Yes","2/14/08"
"11/25/93 15:00","Mesquite (Approx. 15 miles west on I-15 of)","NV","Other","5 min. approx.","Two adults driving see &quot;metallic&quot; objects in sky.  Look like commercial aircraft but no movement.  Watch objects for a couple of minute","10/12/01"
"11/24/93 19:00","Harlowton (in general vicinity of Malmstrom AFB)","MT","Formation","approx. 6 hrs.","6-7 hr. long event during which a triangle,disks and an IMMENSE cylindrical object were observed clearly at close range and through opt","9/12/99"
"11/23/93 23:30","Baton Rouge","LA","Triangle","20 to 30 seconds","I saw 3 orange illuminated triangles flying very low between 2 apartment buildings, just above the trees.","7/5/99"
"11/23/93 11:24","Fairbanks","AK","Cigar","3 minutes","Me and one of my friends were coming home from sledding when we saw a mettalic, cigar shaped, UFO hovering in the air emitting a blue b","6/2/98"
"11/20/93 22:00","Lake Edward (Canada)","NB","Sphere","10 seconds","Reddish-orange sphere the size of a quater held at arm's length came out of nowhere, flying very fast in a south-westerly direction","7/3/13"
"11/20/93 03:30","Elkton","MD","Triangle","30 minutes","I was in my deer stand when i seen a light it came down wright over top of me.A beam of light came out when it left it was allmost day ","4/1/00"
"11/17/93 05:10","Middleborough","MA","Light","50 minutes","Multiple lights moved across a field before dawn, 50 minutes of this.  As one approached, I returned to truck for camera and saw  brigh","1/22/00"
