"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/24/47 21:00","Whitmore Lake","MI","Cigar","20 Min.","Dec. 24, 1947 cigar shaped lighted object above the trees near Ann Arbor, Michigan","6/12/08"
"8/15/47 20:15","Proctor","OK","Cigar","2 min","cigar-shaped, no sound, sub-sonic vibration","4/13/10"
"8/12/47 22:00","Saranac Lake","NY","Disk","approx:6 minutes","6-7 Disc shaped objects.  ((REPORT FROM:  BRIAN VIKE, BRITISH COLUMBIA, CANADA.))","3/23/04"
"8/12/47 01:00","Henrietta (south of; Route 66)","OK","Light","30 seconds","bright light latest 30 seconds in aug 1947 in oklahoma","4/16/05"
"8/10/47 20:00","Green Valley","WI","Unknown","3-5 minutes","White lights 5 to 7, 1/4 mile away, no sounds, just disappeared,","5/15/13"
"8/8/47 22:00","Modesto","CA","Disk","UNKNOWN","My grandmother woke me up to go to the front house get my uncle to check on the bright blueish light out behind our cottage.  I was sca","4/1/01"
"7/20/47 22:00","Raton/Des Moines","NM","Oval","45 Min","The object followed us (our car) over 40 miles and then stayed 100 feet off the ground for about 10 minutes.  It then went straight up","3/23/04"
"7/15/47 21:00","San Jose","CA","Chevron","2-4min ?","The object seen that summer evening  was cheveron shaped, with a blue glow  visable around the edges, moving silently &amp; slowly. N-S.","4/27/04"
"7/15/47 21:00","Morehouse","MO","Cylinder","hours","Looked like airplanes without windows,  wings, or tails.","5/15/06"
"7/15/47 17:00","Minneapolis","MN","Disk","19 minutes","July 1947 around 5 pm I saw a gray disc-like object in the sky which newscaster Cedric Adams mentioned later","4/16/05"
"7/15/47 15:00","Clintwood","VA","Cylinder","10 seconds","In July 1947 my Dad and I were working in our corn field in Clintwood Virginia (Dickerson County). Around 3PM we looked up up see a cyl","3/10/11"
"7/15/47 15:00","Hazelton (Northeast of)","ID","Disk","10 Min.","The Object was Huge,Saucer-shaped,beautiful silver,no sound,no exhaust-No lights as it was early afternoon.","8/5/01"
"7/15/47 12:00","Keeneyville","IL","Formation","five minutes","A burning particle from space experienced coincident with an unusual over flight at high altitude","1/21/08"
"7/15/47 10:00","Las Vegas (East of)","NV","Disk","5 minutes","On July 15, 1947 I witnessed a large saucer-shaped disk outside Las Vegas, Nevada.","12/2/00"
"7/14/47 11:00","Richmond","CA","Circle","30 min.","THIS  SIGHTING TOOK PLACE WHEN I WAS A CHILD. I WAS 9 1/2 yrs. old. IT was the summer vaccation for the school children .WE had been ou","3/19/02"
"7/14/47 10:30","Syracuse","NY","Cigar","15 minutes","WHILE LOOKING OUT THE SECOND STORY WINDOW OF HIAWATHA COTTAGE AT ELMCREST CHILDREN'S CENTER I SAW A BIG (200 FT.?) CIGAR SHAPED CRAFT O","1/28/99"
"7/10/47 20:00","Seattle","WA","Circle","15 minutes","Five bright discs above Seattle, WA.","5/20/16"
"7/9/47 20:00","Johnston City","IL","Disk","45 SEC.","I was only 13 at the time but I will never forget what  I watch on that warm July evening I'am 69 now","11/11/03"
"7/5/47 11:30","Philadelphia","PA","Disk","3 to 5 min","Six craft observed that brought people out of their homes to look up.","4/16/05"
"7/4/47 17:30","Seattle","WA","Oval","ten seconds","While walking in Woodland Park in Seattle, Washington, on July 4, 1947, I looked up and saw a bright white oval object come down .","11/21/10"
"7/1/47 20:00","Maywood","CA","Disk","2  minutes","1947 UFO sighting Date: ? sometime in early summer Time: after dark (between 7 - 9 pm) Place: Maywood IL not far from O&#8217;hare Airbase (n","4/16/05"
"7/1/47 20:00","Cashmere","WA","Formation","2 minutes","THE SIGHTING.&#9;It was a clear, summer&#8217;s evening in 1947 (or 1948 &#8211; I can&#8217;t be sure of the exact year).  The sun had just set over th","4/16/05"
"7/1/47 20:00","Wexford","PA","Unknown","10 seconds","I have told this to people over many years. While on school vacation at my uncles junk yard one evening I noticed on the horizon at dus","9/13/02"
"6/30/47 18:00","Baltimore","MD","Oval","8 sec","I wasn't the only saw them","10/27/04"
"6/20/47 12:00","Hayward","CA","Circle","30 minutes","We where very close to five bright gold saucers for approx. twenty minutes.","9/9/13"
"6/15/47 18:00","Madison","WI","Disk","2-3 min.","Three  disks appear in the West, stop at zenith, and proceed Eastward a rapid rate of speed.","3/19/02"
"6/15/47 14:00","Gackle","ND","Other","aprox. 1 hour","Alien hawk sighted in North Dakota","12/3/04"
"6/15/47 10:00","Winona (approx. 20 miles NW of)","MN","Disk","15 sec","2 unmoving round objects side my side like eyes straight overhead above the fiew clouds that drifted under them.","4/2/99"
"6/13/47 20:18","Oakmont","PA","Unknown","approx.10 min.","a very brillant blue-white object coming towards us lowering above us and hovering over us a few minutes before shooting straight up","3/2/04"
"6/9/47 21:00","Corpus Christi","TX","Fireball","10 minutes","1947 fireball incident in space.","11/19/15"
"6/1/47 18:00","Oroville","CA","N/A","1 minute","I was only six, but I was playing jacks in front of my home, I looked up at the ball, and there they were..no noise..I know now, they w","12/2/00"
"6/1/47 17:00","Espanola (outside of)","NM","Circle","5 minutes","Saucer shaped object  about  ten feet in diam.","8/30/13"
"6/1/47 02:30","Cleveland","OH","Light","about three hours","It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out","4/28/01"
"4/15/47 23:00","San Deigo","CA","Triangle","10 ,seconds","The craft was V shaped with an arodinamic  body the thrust was in the form of the spectrum.","7/25/04"
"4/15/47 14:00","Miami (north of)","FL","Other","5-7 MIN","A GLOWING METALLIC OBJECT OF HUGE SIZE OVER THE ATLANTIC HEADING NORTH, BEFORE ROSWELL.","1/10/09"
"2/20/47 22:15","Syracuse","NY","Disk","one hour +","1947-Chance observation of night sky reveals many UFO's traversing upper atmosphere....","8/16/02"
