"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/28/57 00:00","Madison","WI","Cigar","1 hour","A large fuchia pink cigar shaped object slowly flew over the building.","9/2/05"
"11/10/57 20:00","Northeast Cape AFS, St Lawrence Island,","AK","Other","4-5 min","Observed target on search radar. Ground speed about 25000 kt, altitude at least 30000ft. recorded on scope camera. observed by other ra","1/28/99"
"11/10/57 19:00","Corpus Christi","TX","Light","10 minutes","UFO over Corpus Christi near naval yard on November 10, 1957","10/31/03"
"11/10/57 17:00","Teaneck","NJ","Cylinder","2 minutes","Cylinder UFO followed by disc seen in fall of 1957 over northern New Jersey","2/24/05"
"10/15/57 22:00","Commerce City (N. of Denver)","CO","Fireball","10 min.","A lot of methane gas in area","9/19/02"
"10/15/57 20:30","Houston (Ellington AFB)","TX","Light","3 seconds","5 to 6&quot; diameter light, extremely fast, silent, made an impossible inside 45 degree turn, and sped away horizontally.","9/17/00"
"10/15/57 02:00","New York City (Queens)","NY","N/A","2x3 hrs","tall unidentified being enters home - N.Y.C. 1957","3/21/03"
"10/15/57 01:45","England","AR","Disk","unknown","Unexplained object seen on a clear fall night by a reputable person. 500 Lights On Object0: Yes","6/12/07"
"10/5/57 19:00","St. Paul","MN","Light","45 secs","A bright light was apparently chased by several military jets.","3/16/00"
"10/1/57 22:00","Northeast Cape AFS","AK","N/A","10-15min","Radar sighting and filming","1/28/99"
"10/1/57 21:00","Paterson","NJ","Disk","10 seconds","Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ","4/16/05"
"10/1/57 20:30","Martelle","IA","Cigar","unk","I Fly and have been in Viet Nam and around the world and have never seen anything like it again.","8/5/01"
"10/1/57 16:00","Nelchina (near)","AK","Unknown","3 minutes maximum","This incident occurred about October of 1956 or &#8216;57. At the time, I was Assistant station manager for a major airline in Anchorage as","12/7/06"
"9/20/57 00:00","Hopkinsville","KY","Cigar","10 minutes","4 matalic silver cigar shaped objects; no sound september1957, kentucky","8/28/03"
"9/15/57 23:00","Tacoma","WA","Disk","20 seconds","a large disk spacecraft the size of a Boeing 727 seen in the evening skies over Tacoma, Wn.","3/2/04"
"9/15/57 21:30","Lake Jackson","TX","Fireball","13 sec","fireball seen on country  road.","1/10/09"
"9/15/57 04:00","El Paso","TX","Disk","10 min","Undified Flying Object","2/14/08"
"9/10/57 19:15","St. Paul","MN","Disk","five minutes","3 UFO's saucer-shaped with flashing lights landed in field next to me, when I approached took off with great speed.","4/16/05"
"9/5/57 17:30","Los Gatos (west of)","CA","Disk","one minute or less","3 craft seen in day light, very low altitude and as clear in detail and color as a car on the road.","10/30/06"
"9/1/57 23:00","Brecksville","OH","Circle","3 minutes","20 ft in diameter glowing ufo landed a few feet from my car .","2/1/07"
"9/1/57 20:00","Beaver Co. {Western Pennsylvania; Rte. 288)","PA","Cigar","20 minutes","Multiple witness sighting of cigar shaped craft with many colored lights from less than 100 ft. away.","5/26/16"
"9/1/57 16:00","Graham","TX","Sphere","30 sec","Three shiny spheres over Graham Texas","1/10/09"
"8/17/57 23:00","Huntington","IN","Triangle","1 hour","Directly over head at tree level a Massive, Silent, Hovering Object blocking the  night sky","3/19/09"
"8/16/57 21:30","Smith's Ferry","ID","Disk","10 minutes","When a disk UFO passes within a few feet of the truck cab, the Air Force calls it a lost missile.","6/3/10"
"8/15/57 21:30","Auburn","MA","N/A","N/A","this all took place in 1956 or 57. i was 10 or 11 yrs old. it was a warm august night,about 9:30 pm. my friend an i were walking home f","1/11/02"
"8/15/57 21:00","Exeter","NH","Disk","3 minutes","UFO Incident Exeter Newhampshire 1957","10/28/02"
"8/15/57 01:00","Longview","WA","Triangle","3 seconds","My uncle and I were standing outside on a warm summer evening.  We were talking about unions and looking up at the stars.  It was about","6/18/04"
"8/15/57 01:00","Ludlow","MA","Cigar","5 minutes max","Black silhouetted object against glow of distant town.  Flashing light on one edge. Hovers then drops down out of sight.","4/2/99"
"8/14/57 21:00","California (above, northern part of)","CA","Fireball","5 seconds","Red Fireball Over Califonia","1/17/04"
"8/14/57 16:00","Ticonderoga","NY","Disk","15 seconds","UFO buzzed B-47.","10/19/99"
"8/9/57 00:30","San Diego (north of, at sea)","CA","Disk","15 minutes","At least a hundred miles out to sea, a long time ago, in 1957, a very interesting sighting, after midnight.  First report.","8/11/04"
"8/7/57 01:00","Indianapolis","IN","Light","1 hour","Flashing light over Indiana","11/21/10"
"8/4/57 02:00","Bainbridge/ Port Deposit","MD","Fireball","22sec","Midwatch spots Fireball headed directly toward barracks.No time to wake shipmates or get out of the way.","10/8/07"
"8/3/57 20:00","Vandalia","OH","Disk","5-min.","Disk with light spining through it's center crossed the sky from south to north in 3 min or less 8/3/57","1/17/04"
"8/1/57 12:00","Arco","ID","Disk","THREE MIN.","A surveying crew of five disturbed a landed craft that lifted up during mid day and then flew away after observing us.","4/13/10"
"7/15/57 23:30","Kansas City","MO","Light","3hrs +/-","car ingulfed in red light, missing time, father decessed now, mother now 75, sister now 44, and self now 54, light remained for what se","8/10/99"
"7/15/57 22:00","Kresgeville","PA","N/A","20 minutes","As a child, I watched a &quot;star&quot; move slowly around other stars for a period of 20 minutes","12/9/00"
"7/15/57 22:00","Denver","CO","Light","15 minutes","A supposed star, at a time before there were humanly created objects in orbit, which behaved very differently from the other stars.","8/14/07"
"7/15/57 22:00","Salt Lake City","UT","Disk","15 min","5 Silver Saucers flying from over the Salt Lake, and flying over the Oquirah Mountains towards Dugway","4/30/04"
"7/15/57 15:00","Long Beach","CA","Disk","2 minutes","Three disks stationary in a triangle formation during the day surrounded by a mirage effect seemingly caused by heat.","7/4/12"
"7/15/57 14:00","Williamsport","PA","Cigar","2 Minutes","A small, cigar-shaped object entered my field of vision while I was standing on the back porch of second-story apartment building.","4/15/00"
"7/15/57 13:00","Houston","TX","Diamond","2 min","broad daylight  incident in Houston about 1957","6/18/04"
"7/15/57 12:00","Temple City","CA","Light","15 min","Lights over Mt Baldy California 1957 as seen by ten honest men","8/16/02"
"7/13/57 09:00","Chesapeake","OH","Disk","10 minutes","A silent,spinning daylight disc.","7/4/12"
"7/10/57 22:00","Baltimore","MD","Other","1 minute","ON THE ABOVE DATE,MYSELF AND THREE OTHER BOYS HAD ENTERED THE BACK GATE OF THE CARLINS DRIVE INN THEATER TO SEE A MOVIE.  WE HAD BEEN T","9/6/02"
"7/10/57 20:00","Phillipsburg","NJ","Cigar","7 minutes","cigar shaped, after nightfall, Phillipsburg NJ, witnesses","4/16/05"
"7/1/57 20:00","Del Rio","TX","Cigar","HALF HOUR","Owners New Car Has Paint Purned Off By UFO.","12/23/02"
"7/1/57 13:00","Talcott","WV","Sphere","10 - 15 sec.","A sphere that looked like a white light came across the horizon from West to East, an Air Force Jet followed about 3-4 sec later.","7/5/08"
"7/1/57 13:00","Mullens/Pineville","WV","Oval","3 minutes","USAF JETS BELIEVED TO HAVE SHOT AT OR DESTROYED UFO'S OVER THE SKYS OF WEST VIRGINIA IN THE LATER 1950'S.","1/11/02"
"6/30/57 21:00","Albany","CA","Circle","around 1 minute, estimate","What looked like a moving star and a stationary star seemed to collide, whereupon the stationary star also began to move.","8/30/13"
"6/30/57 20:00","Barker","NY","Disk","3 minutes","1957  Four miles south of Barker NY, 6 kids, 1 adult saw saucer at dusk, 2 kids saw it again in daylight next day","5/15/13"
"6/30/57 18:00","Russellville","AR","Sphere","10 minutes","Huge orange ball floating over Russellville, Arkansas, in late 50s.","4/12/13"
"6/30/57 13:00","Burlington","IA","Circle","90 seconds","Slow travel when observed, followed by an abrupt direction change with unbelievable acceleration.","6/2/13"
"6/30/57 12:00","New York City","NY","Teardrop","i0min","glowing lights lead the way","2/14/06"
"6/30/57 03:30","Birmingham","MI","Unknown","5 minutes","Grey alien drills into my back when I was a child in the 1950's","7/3/13"
