lat,lng,city,state,date,specs,shape,duration
43.3719678,83.58329169999999,Vassar,MI,12/30/91,zigzag beeping object,Circle,30 seconds
43.3361323,85.8108819,Grant,MI,12/24/91,"There was one circle shaped object in the sky by a tree in the back yard,  It had lights all around it. I left the room to get my husba",Circle,3 Minutes
40.96751099999999,99.0864775,Pleasanton,NE,12/23/91,"Small orange fluorescent object seen S in distance, disappears, then rushes vehicle in northerly direction, narrowly missing windshield",Sphere,7 minutes
32.8406946,83.6324022,Macon,GA,12/20/91,"saucer shaped soundless object hovering with rectangular lights going around; as soon as on would go off, the other would come on,",Disk,2 min's
37.9514447,86.76776629999999,Tell+City,IN,12/14/91,bright light lit up the woods 5am while hunting.  ((NUFORC Note:  Possible meteor??  PD)),Circle,30 sec.
35.3234065,84.5249307,Etowah,TN,12/13/91,"I was looking at Star Mountain when these 3 objects appearred. As I watched them, they seemed to change shape. Then as I watched for a ",Changing,looking at mountains
42.9633599,85.6680863,Grand+Rapids,MI,12/10/91,"hugh  triangulation of  lights,nine in all,traveling with stunning cooperation and velocity,all rotating,silently and quick!",Other,3.5 seconds
34.1494848,118.5506158,Tarzana,CA,12/5/91,"'91, SF Valley. 5 small, bright, low-flying red spheres, followed fwy traffic: melded together from 5-3-1-2-4 total. West-to-East",Sphere,3.5min
41.0875099,81.63638689999999,Copley,OH,12/1/91,Rearview Lights,Light,3 nours
42.5294773,83.7802214,Brighton,MI,11/27/91,"Large object with two bright lights, passed overhead silently. Half-circles connected by rectangle.",Circle,1-2 minutes
37.6455993,91.53598079999999,Salem,MO,11/23/91,The craft hovered above car for 3 to 5 minutes staying directly 30-50 feet in front of the car above the road.  Lowed itself infront of,Triangle,22:05
36.5042277,88.8742259,Fulton,KY,11/20/91,1991- seen a light zip out of sight with out a sound.,Light,5 Min.
49.895136,97.13837439999999,Winnipeg+(Canada),MB,11/20/91,Beautiful ball of light instills awe,Light,unsure
27.7003087,80.9042283,Yeehaw+Junction,FL,11/20/91,Silver triangular craft hovering over highway,Triangle,15 minutes
38.8338816,104.8213634,Colorado+Springs,CO,11/18/91,triangle craft. one moving glowing blue at 250ft. The other hovering off a busy street . same altitude.3 wht lights 1 red center,Triangle,5min
29.6910625,95.2091006,Pasadena,TX,11/15/91,UFO sighting in Pasadena TX in November 1991.,Unknown,5-10 minutes
38.8338816,104.8213634,Colorado+Springs,CO,11/15/91,"Clear night, calm winds, object triangular, blue glow emanating all around, flying at250 to 500 feet north to south direction no noise ",triangle,5 min
30.42130899999999,87.2169149,Pensacola,FL,11/15/91,Metallic disc hovers near road in northeast pensacola,Disk,approx. 20 mins
28.5552719,82.3878709,Brooksville,FL,11/12/91,"just got in bed saw a bright light that complety lit up entire 50 acre lake also heard loud whistle,by the time my wife and i could get",N/A,2mins
37.6455993,91.53598079999999,Salem,MO,11/10/91,Triangular-shaped object witnessed by two people at close range.,Triangle,3-5 minutes
37.6455993,91.53598079999999,Salem,MO,11/10/91,Triangular-shaped object hovers 30 to40 feet above car for five minutes.,Triangle,5 minutes
33.7212179,85.1455036,Bremen,GA,11/1/91,My TV went off and I felt that something or someone was &quot;fooling&quot; with me and watching me,Disk,2-3 minutes
41.9867114,83.8310513,Britton,MI,11/1/91,"A large, low-hovering (not moving) craft with colored strobing lights around the bottom and it made no noise.",Triangle,5 Min
41.8297694,86.2541768,Niles,MI,11/1/91,Triangle zigzagged.  Another shined light on us. Others jetted to horizon.,Triangle,2 hours
40.1439985,75.1157286,Willow+Grove,PA,10/31/91,Huge &quot;V&quot; shape craft as seen before over mountains in California/Las Vegas.,Other,5 sec
40.0156763,105.3243725,Boulder+(10+miles+west),CO,10/31/91,"Two glowing translucent spheres chasing and playing &quot;tag&quot; in the trees, one landed, one flew away.",Circle,30 to 45 seconds
34.0522342,118.2436849,Los+Angeles,CA,10/28/91,"It was a clear, sunny day. My friend and I went for a neighborhood walk.  It was early afternoon.  My friend first noticed 3 round whit",Circle,15 minutes
46.7458117,67.6977721,Perth-Andover+(Danada),NB,10/15/91,"Reddish-orange sphere bigger than a full moon came out of nowhere, hung briefly, than zipped off toward the west.",Sphere,5-8 seconds
32.7178862,100.9176184,Snyder,TX,10/15/91,Round disk with lights,Disk,5 minutes
35.2298559,75.63248759999999,Frisco,NC,10/10/91,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,Unknown,30 minutes
40.2731911,76.8867008,Harrisburg,PA,10/10/91,We observed 3 triangular shaped high speed objects!,Triangle,10 minutes
40.9508614,105.3462273,Virginia+Dale,CO,10/7/91,"Four nocturnal lights, one winks out, deer appears.",Light,2 minutes
34.7048022,85.2818998,Lafayette,GA,10/1/91,A small globe descended from beneath the larger craft.,Other,15 min.
36.1699412,115.1398296,Las+Vegas,NV,10/1/91,For seven years I have kept this fairly quiet. I was walking my dog on a clear dark night where I live on the north west side of Las Ve,Cigar,5 seconds
36.1325616,88.5186636,McKenzie,TN,10/1/91,"I saw a saucer shaped obiect with blue, red, green flashing lights on the way home from college.",Disk,15 minutes
40.8509333,73.9701381,Fort+Lee,NJ,10/1/91,A blimp shaped object with low lighting or shimmering effect outline hovering next to the G. W. Bridge over the Hudson River.,Unknown,5 minutes
34.7464809,92.28959479999999,Little+Rock,AR,10/1/91,"Triangular arrangements of lights appearing to begin to land on freeway, miltary-ish cars mobilze around it",Triangle,5 minutes
35.7564719,83.9704593,Maryville,TN,10/1/91,"Silver, cigar shaped object north of downtown Maryville, TN in or around 1991",Cigar,5 minutes
33.7857948,118.2643567,Wilmington,CA,10/1/91,Patterned disks over southern california sky.,Circle,15 minutes
34.829838,82.6015206,Easley,SC,10/1/91,Hockey-puck-shaped-thing.,Other,fifteen minutes
29.8832749,97.9413941,San+Marcos,TX,9/27/91,Giant V-Shaped Craft,Triangle,6-8 minutes
34.6834382,82.8373654,Clemson,SC,9/25/91,"Traingular craft, with a circle in it's center,.  circular lights in the circle that rotated.",Triangle,2 minutes
40.3059999,121.0057931,Westwood,CA,9/23/91,a bright tube of light resembling an elevator shaft descended from the light object to the ground and then returned.,Light,30-45 minutes
46.52185799999999,84.3460896,Sault+Ste.+Marie+(Canada),ON,9/21/91,strange triagle,Triangle,3 min
45.5016889,73.567256,Montreal+(Canada),QC,9/18/91,Black Triangle over Montreal,Triangle,about one minute
47.0378741,122.9006951,Olympia,WA,9/18/91,"Single star morphs into Hoberman Sphere, rotates, reverts, turns red, divides, flies away in formation",Changing,2 to 3 minutes
34.2542084,110.0298327,Show+Low,AZ,9/17/91,3 lights &quot;disguised&quot; as a plane,Formation,10 seconds
34.9803342,101.9188024,Canyon,TX,9/15/91,((HOAX??))  I have not been compelled to report this incident until a few days ago to the MUFON website. ((anonymous report)),Fireball,15 minutes
35.2339712,92.387655,Greenbrier,AR,9/15/91,Orange or amber balls or orbs of light multiplying and maneuvering beyond known and current aircraft abilities,Light,21 years
45.5230622,122.6764816,Portland,OR,9/15/91,It was a long cigar shaped object; no way its some thing we built.,Cigar,1 minutes
35.0526641,78.87835849999999,Fayetteville+(near),NC,9/14/91,Fast moving object that would just stop and then dart off and then just stop again.,Light,10 minutes
47.48287759999999,122.2170661,Renton,WA,9/12/91,At 7:35 P.M. this evening I witnessed an object traveling from S.E to N.W.  It appeared to be similar to a &quot;shooting star&quot; with a brigh,Fireball,5-10 MINS.
46.4004089,117.0011889,Lewiston,ID,9/10/91,A large panning light that would move from position to position faster than seemily possible.,Light,A half an hour
54.4425721,124.2510475,Fort+St.+James+(Canada),BC,9/8/91,HBCCUFO CANADIAN REPORT:  The light grew brighter and brighter and it was engulfing the vehicle..,Other,unknown
42.5878489,76.3668792,Groton,NY,9/5/91,"My sister and  I saw a  massive, silent, v-shaped formation of bright white lights fly directly overhead.",Triangle,2 sec.
37.1305012,121.6543901,Morgan+Hill,CA,9/2/91,We witnessed about 12 black objects pass overhead at night.,Unknown,30 min
42.4390069,123.3283925,Grants+Pass,OR,9/1/91,Light appeared over mountain,Light,8 hrs
32.8440404,106.099291,Alamagordo+(Holloman+AFB),NM,9/1/91,We were out side talking.  I noticed a star that was orange. Then it began to move at speeds and G's thats humans can't handle.,Oval,3 minutes
42.338913,71.067945,Boston+(above),MA,9/1/91,"The object was absolutely solid as I observed it, but appeared to fly thru the windows.",Circle,20 to 30 secnds
38.6270025,90.19940419999999,St.+Louis,MO,9/1/91,Witnessed a black rectangle go over our house...,Rectangle,3 minutes appox.
46.2619033,120.8489815,Yakama+Indian+Reservation,WA,9/1/91,"large, lighted rectangular stationary object was observed for 1 &amp;1/2 hrs, as it sank out  of sight.",Rectangle,One and 1/2 hr.
46.2619033,120.8489815,Yakima+Indian+Reservation,WA,9/1/91,"A square shape of 16 colored lights observed for 90 minutes through forest trees on Sept 1, 1991.",Other,90 minutes
38.6270025,90.19940419999999,St.+Louis,MO,9/1/91,Sitting in the backyard reading when I noticed a dark shape against the clouds...again!!,Rectangle,1min approx
36.1539816,95.99277500000001,Tulsa,OK,9/1/91,It was the size of a football field.,Rectangle,15 minutes
33.8026107,93.38100569999999,Prescott,AR,9/1/91,"Un like other incounters I have read about,  The ship I saw was landed",Sphere,2hrs
49.8879519,119.4960106,Kelowna+(Canada),BC,9/1/91,My husband and I were on a holiday in Kelowna B.C staying on the top floor (5th) at The Queen Anne Hotel in the old section of town. We,Unknown,approx 1 hour
32.4487364,99.73314390000002,Abilene,TX,9/1/91,Swaying round light at rooftop height between 2 houses and right above--a huge triangular black object--no sound. 500 Lights On Obj,Triangle,10 Minutes
41.2619444,95.8608333,Council+Bluffs,IA,8/31/91,Daytime sighting of a black stationary tube that looked like UFO from Star Trek Movie with the whales.,Cylinder,5 min
36.4169007,120.6743379,New+Idria,CA,8/29/91,Two silent perfect equilateral triangle craft observed for atleast 150 minutes at New Idria CA.,Triangle,150 minutes
44.7308461,116.0772125,Donnelly,ID,8/29/91,"When there is an animal mutilation, what can you hear?",Unknown,1/2 hour
42.887535,77.2816984,Canandaigua,NY,8/28/91,It was a white sphere and it was keeping pace with my car,Sphere,15 minutes
46.5475825,87.39559539999999,Marquette,MI,8/25/91,Second and Third witness to report.,N/A,3 sec
40.5795317,74.1502007,New+York+City+(Staten+Island),NY,8/24/91,"it was the most amazing thing i have ever seen, but i dont remember what happened.",Egg,?
35.5950581,82.5514869,Asheville,NC,8/22/91,"Yellow/Redish colored UFO on the Blue Ridge Parkway in Asheville,NC.",Oval,5 minutes
45.4056589,64.32588740000001,Parrsboro+(Canada),NS,8/20/91,Very large regtangular object blocking out the stars with an almost inaudible but loud sound?,Rectangle,30 - 60 minutes
38.9822282,94.6707917,Overland+Park,KS,8/20/91,It was on a Saturday or Sunday afternoon and I was going on my break from work when I got into my car and my boss Bill started talking,Disk,3-5 min
42.1162217,70.8476708,Hanover,MA,8/16/91,A bright light moving erraticlly toward us was then was chased by two fighter jets.,Light,20 min +/-
