"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/08 23:55","Katy","TX","Light","4 min","Orange light over Katy, TX seen 12/31/08","1/10/09"
"12/31/08 23:45","St. Louis","MO","Formation","2 minutes","Formation of 9-12 points of light with another object in the middle covered with five lights in a diamond pattern.","1/10/09"
"12/31/08 22:00","Carver","MA","Unknown","20 seconds","2 fast moving objects 15 seconds apart travelling low and on the same flight path.  Extremely fast!","3/19/09"
"12/31/08 21:30","Fort Lauderdale","FL","Fireball","3 minutes","Orange Fire Balls headed East over Atlantic Ocean","1/10/09"
"12/31/08 21:00","Long Beach","CA","Formation","20 Minutes","A formation of lights hovering above the Long Beach Harbor.","1/10/09"
"12/31/08 20:15","Spring","TX","Light","3 min","over 20 objects moving at different speeds some in triangle patterns to the norhtwest","1/10/09"
"12/31/08 18:00","Warrensburg","MO","Disk","30 minutes","2009 UFO SIGHTING-CLOSE ENCOUNTER-NEAR WARREN AIR FORCE BASE,Warrensburg,Mo. 500 Lights On Object0: Yes","3/19/09"
"12/31/08 16:35","Minneapolis","MN","Triangle","15","Flashing triangular lights over North Minneapolis New Year's Eve 12/31/08","1/10/09"
"12/31/08 16:30","Louisville","KY","Light","5 minutes","White Light Object appears in the sky and speeds away below the horizon","1/10/09"
"12/31/08 16:30","Galesburg","IL","Unknown","1 Minute","Small black obect, pointed at end flying in a striaght line, no exhaust or sound emitted.","1/10/09"
"12/31/08 14:30","Bremerton","WA","Circle","20 seconds","Saw black ball-shaped object floating overhead. A helicopter flew across it's path underneath it.","1/10/09"
"12/31/08 12:00","Florida (southern)","FL","Circle","few seconds","a jet and orb flying together same speed","1/10/09"
"12/31/08 09:15","Ogden","UT","Sphere","5 minutes","Large spherical craft with 2 lights rotating around the object","1/10/09"
"12/31/08 05:50","Los Angeles","CA","Light","8 to 10 minutes","Bright light moving quickly over Los Angeles, CA","1/10/09"
"12/31/08 00:00","El Cajon","CA","Unknown","5 minutes","http://www.youtube.com/watch?v=NkXK__OA2ho     link to my video","1/10/09"
"12/31/08 00:00","Sharpsville","IN","Other","N/A","((HOAX??))  Great flying object.","1/10/09"
