"Date / Time","City","State","Shape","Duration","Summary","Posted"
"10/15/36 17:00","Eklutna","AK","Cigar","3 minutes.","Two men approached by a cigar-shaped object in the night sky.","2/18/01"
"9/15/36 19:00","Albany (Canada)","PE","Rectangle","2O MINUTES","I WAS PLAYING AT MY FRIEND'S HOME AFTER SUPPER AND HER MOTHER WORRIEDLY REMINDED ME IT WAS LATER THAN SHE REALIZED. HER OLDER DAUGHTER","3/19/09"
"7/15/36 00:00","Alma","MI","Disk","unkn","A child hood experiece  seems more real like an alien encounter then the &quot;dream&quot; I thought it was","5/15/06"
