lat,lng,city,state,date,specs,shape,duration
36.1539816,95.99277500000001,Tulsa,OK,12/31/96,"Cigar shaped object flew over our heads from NE to SW.  Had red, white, and blue strobe lights on it.  Made a high pitched whine as it ",Cigar,unknown
42.5750883,71.998133,Gardner,MA,12/31/96,I looked up and saw four circular objects flying in and out of each other. Then they all lined up in a row and took off quickly and dis,Circle,30 seconds
32.2217429,110.926479,Tucson,AZ,12/31/96,Craft was spotted hovering over the city.,Disk,15 minutes
38.92593970000001,79.8467349,Elkins,WV,12/30/96,"Man witnesses large, brilliantly bright, silver-white light, size of a full moon, passing overhead.  Obj. flashed, then disappeared.",N/A,90 sec.
38.6950335,92.3087977,Hartsburg,MO,12/29/96,"Relayed rept.:  2x men trapping witness silent, black triangular obj. overhead.  3-4 white strobe lights; blue&amp;red lights.  No sound.",N/A,5 min.
32.7562463,91.8723497,Bastrop,LA,12/29/96,"due south of bastropA bright light was seen in the sky, and was thought to be a star until it started moving. It moved back and for",Light,1 hour
38.1422839,122.3651983,Highway+37,CA,12/28/96,Young man called to rept. &quot;a ring of lights&quot; in the night sky between Sears Point and Vallejo.  (Facts unclear.  No return call.),N/A,N/A
27.5305671,99.48032409999999,Laredo,TX,12/28/96,"Fiery object falling, breaks into 2 pieces, each dart toward opposite horizons",Changing,10 seconds
42.2711311,89.0939952,Rockford,IL,12/28/96,Black Triangle about 75 feet width.,Triangle,20 minutes
32.8234621,97.1705678,Hurst,TX,12/28/96,I saw a brilliant white ball of lightmoving roughly straight downward very fastprobably about 1 mile away.  It disapearedbehind trees. ,light,about 1 second
34.0922335,117.435048,Fontana,CA,12/26/96,"Woman &amp; brother witness 3x peculiar hovering lights.  One of the lights extinguished, other two moved slowly behind nearby trees.",N/A,30 min.
60.10416669999999,149.4422222,Seward,AK,12/25/96,it was green hovering,Light,30 seconds
37.9346476,121.3116365,"Fresno/Stockton+(from,+to+Stockton)",CA,12/25/96,"Radio show call in, single object obsevred as a bright light, traveling at a high rate of speed in a SE direction from STCN to FAT, lig",Light,several minutes
34.7464809,92.28959479999999,Little+Rock,AR,12/24/96,"No Noise, No nothing except blurry lights,an extremly large object with such speed andmanuvirabilty,stopping and starting, hooveringfor",Light,10 minutes
40.2731911,76.8867008,Harrisburg,PA,12/24/96,Triangle w/ 1 light on each point.,Triangle,5 min.
39.5296329,119.8138027,Reno,NV,12/22/96,"Young man sees a very brigh &quot;ball of blue light&quot; out his window.  It looked like a &quot;single bubble of light, w/ 3-dimensional depth.&quot;",N/A,2 sec.
41.4047742,81.7229086,Parma,OH,12/22/96,"We just finished lunch and went back to work at the corner of Sarasota and Sun Haven Rd. Looking up in the sky, I noticed what appeared",Other,2 minutes
39.5296329,119.8138027,Reno,NV,12/22/96,I saw a HUGE ball like flash grow and then'erupt' while looking out of my windowfacing SE. It was not lightening. I love towatch the we,Other,3 seconds
41.0036719,80.34700900000001,New+Castle,PA,12/20/96,I looked up in the sky and there it was,Cylinder,60 seconds
46.7162136,122.9542972,Centralia,WA,12/20/96,Mysterious Red Light Seen Right Outside Bedroom Window,Unknown,30 seconds
47.6062095,122.3320708,Seattle,WA,12/19/96,"Man repts. black, round obj. passing from S to N below solid clouds in W sky. No lights, silent, smaller than moon. Aircraft landing S.",N/A,30 sec.
35.1859163,86.11220709999999,Winchester,TN,12/19/96,"This was the most usual sight I have ever seen, I swear to God.",Triangle,1 hour
36.6777372,121.6555013,Salinas,CA,12/18/96,"Man awakens, turns on TV.  Sees 3x prominent green lights in triangular formation through blinds. Outside, sees other strange lights.",N/A,3 min.
30.1658207,95.46126249999999,The+Woodlands,TX,12/18/96,Saw bright orange light (size of Venus)  with diffuse and changing orange haze 1/2 size of moon around central light.,Light,5 minutes
44.0520691,123.0867536,Eugene,OR,12/18/96,"Father and son saw a light at high altitude perform zig-zags, abrupt starts and stops, and 90 degree turns.I am 18. I was going to ",Light,1 hour
47.6062095,122.3320708,Seattle,WA,12/17/96,Seattle METRO bus driver on Hwy. I-5 sees blue-green obj. streaking E to W just above buildings in Seattle.  Thought it was close.,N/A,3 sec.
45.5230622,122.6764816,Portland,OR,12/17/96,"Multnomah Co. off. at traffic light sees obj. STREAK from W to E in SW sky.  2 min. later, sees identical event, same trajectory.",N/A,2 min.
45.4312294,122.7714861,Tigard,OR,12/17/96,"Man sees bright silver-white light in NNW sky descending at 45-60 deg. angle.  Very fast, very bright.",N/A,3 sec.
49.6706339,124.9037269,Comox+Bay+(Canada),BC,12/17/96,Woman repts. multiple witnesses saw &amp; heard blue/green that passed over WA &amp; BC.  Distinct explosion heard nearby.,N/A,4 sec.
48.7519112,122.4786854,Bellingham,WA,12/17/96,Man calls to relay reports heard on police radio regarding green &amp; blue object streaking across sky at 0615 hrs..,N/A,N/A
47.6062095,122.3320708,Seattle,WA,12/17/96,"Young man sees &quot;yellow tinged fireball with neon green tail&quot; streak from E to W in N sky.  Tail was curving down, and oddly green.",N/A,4 sec.
47.91862159999999,122.5542458,Hansville,WA,12/17/96,"Woman witnesses a blue-green ball of fire, 1/2 dia. of full moon, streak from E to W and intersect the N horizon in almost level flt..",N/A,3 sec.
47.6739881,122.121512,Redmond,WA,12/17/96,"Woman awakened by high-pitch buzzing.  Goes outside and sees large, very bright,circular disc w/ flat top hovering nearby. Frightened.",N/A,15 min.
46.5584421,122.2751046,Morton,WA,12/17/96,Man witnesses a large &quot;pool of green light&quot; streak across sky.  Size of moon.  Covered approx. 80 degrees arc in 4-5 seconds. Strange.,N/A,4 sec.
33.4669721,117.6981075,Dana+Point,CA,12/17/96,We saw a pinkish light moving in a south to north direction.  It traveled at a constant speed covering an approximately 110 degree arc ,Light,10 seconds
30.7686036,94.4154894,Woodville+(Outside),TX,12/17/96,"triangular shape, rounded on ends, 1 lg yellow/orange light on each corner of triangle",Triangle,30-40 sec.
26.1669711,80.25659499999999,Sunrise,FL,12/17/96,"We saw a comet like shape heading west to east very fast, Suddenly the comet tail dissapeared, than ignited twice then disapeared.O",Sphere,60-90 seconds
48.7519112,122.4786854,Bellingham,WA,12/17/96,"large egg shaped bubble, could see through it yet it was irredecent.  About the size of a large pickup truck. Vibrating yet silent",Egg,3 minutes
47.74481189999999,121.0890197,Stevens+Pass,WA,12/16/96,"2x skiers see  orange disc, then 2 others moving rapidly across sky.  1 of discs suddenly streaks off, then streaks back to formation.",N/A,N/A
47.9789848,122.2020794,Everett,WA,12/16/96,Boeing empl. sees peculiar green streak in E sky.  Headed S at VERY high speed.  Streak narrower than kitchen match at arm's length.,N/A,2 sec.
47.6587802,117.4260466,Spokane,WA,12/16/96,"rotating metallic chrome object  shining-intense ruby light , diamond/flat cone shape, stationary high altitude",Diamond,6min
35.2045328,89.8739753,Bartlett,TN,12/15/96,"On a December night,1996, I saw a cresent shaped U.F.O. >>>>>>>>   ) It was almost as bright as the moon but not as bright. I was looki",Other,5 seconds
41.4141172,73.3035651,Newtown,CT,12/15/96,"Strange craft appeared in sky , then zoomed away",Teardrop,1 minute
47.5301011,122.0326191,Issaquah,WA,12/14/96,"3x adults witness a &quot;long, narrow disc w/ very bright, cream-colored light&quot; over Tiger Mtn.  Draws  close to woman, pursues her.",N/A,6 min.
34.0686208,117.9389526,West+Covina,CA,12/14/96,"Father, 2 sons, neighbor witness gray disc pass directly overhead, pause, move off, and hover.  Moved EXTREMELY fast. Not a plane.",N/A,2 min.
47.4473204,122.4598502,Vashon+Island,WA,12/14/96,Young man witnesses a &quot;green gaseous&quot; obj. streak across the northwest sky going from N to S.  Very bizarre sight.,N/A,1 sec.
42.331427,83.0457538,Detroit,MI,12/13/96,"Mother driving w/ 3 children sees several craft in triangular pattern, which split suddenly. They pursue objs., &quot;catch&quot; 2x. Scared!",N/A,10 min.
40.9867609,75.1946248,Stroudsburg+(Stroud+Township),PA,12/13/96,Blue light faded to red with electrical sounding hum and then repeating.The light traveled from behind our home to the side lighting th,Light,under 2 min.
37.2936633,88.97534619999999,Karnak,IL,12/13/96,At about 8:00 at night I was sitting outside staring at the stars when I saw a streak of green light followed by an explosion.Right bef,Cylinder,N/A
34.2694474,118.781482,Simi+Valley,CA,12/13/96,A silver metallic object streaked across the sky in a northeast direction. It suddenly slowed to a complete stop before going straight ,Egg,4 min
36.0726354,79.7919754,Greensboro,NC,12/13/96,Very large ball of light. Looked to me as if the sun were moving through town.,Light,1-minute
33.368825,104.510062,"I-10,+Marker+174",NM,12/12/96,"Truck driver &amp; other trucks see 2x bright white lights, which split apart. 1 ascends vert., other paces truck, streaks.  Many CB repts.",N/A,7 min.
30.2752011,98.8719843,Fredericksburg,TX,12/12/96,Lights appeared above Laredo,Light,10 minutes
40.6639916,74.2107006,Elizabeth,NJ,12/12/96,"There are many sighting i have seen in my lifetime, there are even some that i have heard from my neibors out of the united states.",Changing,varies
34.09751,117.6483876,Upland,CA,12/12/96,Early morning driving to work a beautiful bright green colored sphere moving very fast crossed my path about one quarter mile in front ,Fireball,5 seconds
33.5206608,86.80248999999999,Birmingham,AL,12/11/96,"Pastor repts. seeing a &quot;bright ball of fire w/ speed of a falling star&quot; streak W to E. Slows, stops, turns 180 deg., shoots to NW.",N/A,105 sec.
