lat,lng,city,state,date,specs,shape,duration
34.5773206,83.3323851,Tocca,GA,12/24/84,Three bright light in a triangle formation moving very rapidly across the sky,Triangle,3 min
43.653226,79.3831843,Toronto+(Canada),ON,12/15/84,yellowish sphere appears/disappears,Sphere,20 seconds
36.200506,115.159912,Las+Vegas+in+desert,NV,12/15/84,"In Dec. 1984, I was hiking in the Las Vegas desert.  I saw what appeared to be a piece of cellophane like material.",Other,4-5 hours
41.5114521,78.2352872,Emporium,PA,12/4/84,three lights over emporium pa,Circle,1 hour
32.3668052,86.2999689,Montgomery,AL,12/1/84,"Southeast toward Northwest, low, large, lighting up sky,red, with a tail  which  split off behind.  May  have entered Florida, crossed ",Fireball,Seconds
41.9141945,88.3086867,St.+Charles,IL,11/26/84,Object pulses in the red-blue-purple spectrum.,Changing,45 minutes
42.7120196,73.20368979999999,Williamstown,MA,11/24/84,Don't want to divulge any information that might involve other witnesses of this event without their permission. Suffice to say that my,Triangle,20 mins
43.3380464,89.0153875,Columbus,WI,11/24/84,Mid day cigar shape citing while deer hunting,Cigar,10 seconds
41.3819923,82.47516879999999,Ruggles+Beach/Huron,OH,11/20/84,What I saw could not have been made on this earth.,Chevron,5 Minutes
41.1402759,100.7601454,North+Platte,NE,11/15/84,UFO follows train tracks,Other,5 minutes
53.1964307,113.0547715,Hay+Lakes+(Canada),AB,11/15/84,"Large UFO hovering  50 feet above farm-house, in Alberta, witnessed by Police Officer.",Circle,45 minutews
32.4065312,97.2116782,Alvarado,TX,11/14/84,Fireball in Alvarado,Fireball,2 seconds
41.3890052,70.5133599,Edgartown,MA,11/11/84,"My fiance and I, both artist, were getting married August 12, 1984 and spending our honeymoon on Martha's Vineyard.  About 11:00 the ni",Triangle,10 minutes
32.2861299,89.994001,Brandon+(outside+Jackson),MS,11/9/84,"I lived in Crossgates on the north end of the lake  I woke up suddenly, got up out of bed and looked out the glass doors. Just above tr",Cylinder,1-5 minutes
33.5834377,95.9099681,Honey+Grove,TX,11/1/84,UFO in weat feild - Honey Grove - Texas,Disk,5 min
39.9611755,82.99879419999999,Columbus,OH,10/20/84,Driving in a thick pea soup fog. Car headlights went out suddenly. I had seen &quot;Close Encounters of the 3rd Kind&quot; a few years ago.  ( th,Light,4 hr
38.7524045,122.6149853,Middle+Town,CA,10/20/84,"My wife and I saw one of the more common UFO's that have been seen in New Mexico, Arizona, and other places. This UFO has been describe",Diamond,1-3 minutes
42.97219339999999,85.9540407,Allendale,MI,10/18/84,"Appeared to be a bright star with multicolored lights surrounding it, that moved in rapid 45 degree angle directions.",Light,15-20 minutes
29.20968359999999,99.7861679,Uvalde,TX,10/15/84,I cant remember very well now but i think it happened on a thursday night...i needed school paper for the folowing day and i told my pa,Circle,5-15 minutes
33.4598415,94.4154787,New+Boston,TX,10/15/84,Controled flight. Extremely low altitude. Extremely slow speed. NO SOUND! Observed at close distances.,Egg,1 hour
37.2683802,93.11712639999999,Strafford,MO,10/15/84,I was only about 8 or 9 years old.  I had spent the weekend w/ my father &amp; step mom when they were getting ready to take me to my moms ,Circle,10 inutes
35.0853336,106.6055534,Albuquerque,NM,10/15/84,"Disc close enough to almost touch no sound or air, no feet or legs cloaked until about 6' from it",Disk,45 minutes
44.76503659999999,69.7193803,Skowhegan,ME,10/15/84,I was working at a church cleaning the parking lot in the evening approx 7 pm. I looked up towards the sky and I could see and object c,Disk,5 to 10 min
39.9368363,120.9471764,Quincy,CA,10/15/84,Object that was observered in daylight appeared silver color and had no wings and in  a few seconds disapeared.,Unknown,one minute
39.6620397,75.5668166,New+Castle,DE,10/15/84,Oct 1984 at 8:15 am small translucent half dome shaped object,Other,3-5 minutes
41.44933899999999,81.27390729999999,Newbury,OH,10/15/84,cigar shape of colored lights chased and paced my car,Cigar,4 minutes
40.1632913,110.4029329,Duchenne,UT,10/15/84,I know they exist it was on ground and it was not from here!!!!!!!!!!!!!!,Disk,10+min
41.03398620000001,73.7629097,White+Plains,NY,10/10/84,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,Formation,15-20 seconds
44.7630567,85.62063169999999,Traverse+City,MI,10/10/84,translucent football seen over city airport,Other,couple minutes
29.7604267,95.3698028,Houston,TX,10/10/84,2 experience with unkown,Circle,1 minute
33.4734978,82.0105148,Augusta,GA,10/3/84,"We saw three round objects, hovering in a triangle formation that appeared to be on fire.",Fireball,appr. 5 min.
43.5233821,70.9277544,Acton,ME,10/1/84,"Silent, very large, one white headlight, red lights around edges",Triangle,3 min.
34.2506356,118.61481,Chatsworth,CA,10/1/84,Light approaches at high rate of speed and makes a ninety degree turn.,Light,45 seconds
44.426786,124.0687302,Waldport,OR,10/1/84,Bright light of a  fast moving craft frightened me in the night on the Oregon Coast.,Light,10 minutes
40.8447819,73.8648268,New+York+City+(Bronx),NY,9/20/84,BRIGHT WHITE  LIGHTS SEEN IN THE BRONX IN THE 1980's.,Teardrop,5 minutes
40.8453761,73.3351179,Elwood,NY,9/16/84,"Cheveron shaped ojects in V shape formation; daytime sighting, silent moving",Chevron,30 min
60.53722219999999,150.7647222,Sterling,AK,9/15/84,My friends &amp; I were fishing at a lake(Paddle Lake) for a weekend on the Keni Peninsula in Alaska. The first evening Bob ******* &amp; me wh,Light,20 minutes
40.6306464,76.171054,Schuylkill+Haven,PA,9/15/84,Triangular craft with bright white lights on corners was observed above building.,Triangle,2 minutes
38.5789154,121.5004098,California+(entire+west+coast),CA,9/9/84,"lots of &quot;them &quot;are already here,I saw so.       none below apply,was very clear shape,orange/red,in space",Cigar,hours
34.2708924,113.5698741,Alamo+Lake,AZ,9/4/84,UFO Traveled from land to water chasing and stopping our fishing boat.,N/A,20 Min.
39.75687500000001,120.6974801,Plumas+Eureka+State+Park+Camp+Grounds,CA,9/3/84,"Huge triangular UFO travelling extremely slow, but with impossible right and left darting movements.",Triangle,4 minutes
44.68198659999999,63.744311,Nova+Scotia+(Canada),NS,9/2/84,my girlfriend and i was traveling down a dirt road looking for deer like we did just about every night.we noticed 2 lights in the north,Rectangle,N/A
43.2841382,92.8190838,Osage,IA,9/2/84,The ship seemed to be looking for something.,Sphere,5 minutes
30.374301,97.529476,Manor+(in+or+just+outside+of),TX,9/1/84,"my friend and I drove out to the country, near his father's property, which is located in or just outside of Manor, Texas.   we just w",Unknown,half hour
42.2733718,83.1343677,River+Rouge,MI,9/1/84,ufo scans goodyear blimp in 1984 over River Rouge Michigan,Sphere,10 seconds
36.175576,106.1833584,Medanales,NM,9/1/84,"tHIS IS ALL I SAW.. LOOKING WEST FROM WINDOW AT NIGHT , I SAW A RED BRILLIANT LIGHT ON LAND ABOUT 11/2 ACRE AWAY. AS I STARED AT THE LI",Light,1min
32.8024577,117.2355851,Pacific+Beach,CA,9/1/84,Mystery craft scares Pacific Beach residents,Oval,30 mins
39.2903848,76.6121893,Baltimore,MD,9/1/84,An extremely large black rectangle or triangle ufo floating at tree top level outside our house.,Triangle,15 minutes
30.5704721,85.12714419999999,Altha+(near),FL,8/26/84,The object hovered behind a cloud for close to a half hour and if it was a helecopter it would have made a sound.,Cylinder,30 minutes
38.5611247,94.1913332,Garden+City,MO,8/23/84,Possible triangular ship.,Triangle,10 minutes
43.2966716,87.9875898,Cedarburg,WI,8/21/84,"Re occuring sightings in same location., up close and personal proof is waiting",Rectangle,45 min.
41.766022,87.87952299999999,Countryside,IL,8/18/84,"Grey, triangular shaped craft with green, blue, and white lights slowly floating over car.",Triangle,15 minutes
41.3973163,73.6170721,Brewster,NY,8/15/84,Astoundingly wide Chevron or &quot;flying V&quot; with 7-9 piercing white lights that fade to red as it goes behind trees. Moves slow &amp; quiet.,Chevron,20 Minutes
41.0534302,73.5387341,Stamford,CT,8/15/84,"Dear Mr. Davenport, I heard you on the Clyde Lewis Show on March 27th, 2014 and I was so elated to hear you wanted UFO experiences of t",Disk,1-2 minutes
41.2084278,73.8912481,Croton-on-Hudson,NY,8/15/84,craft glided over houses. Seemed to be just above tree line but it was huge so hard to tell how high. Silent. Slow. Many saw it. Police,Sphere,20 mins
43.2992389,73.63511679999999,South+Glens+Falls,NY,8/15/84,We saw a cigar-shaped object fly and then land.,Cigar,5 mins
39.87733559999999,75.0646165,Haddon+Heights,NJ,8/15/84,"A black, noiseless, lightless, fast, triangular shaped object flew over our heads in NJ in 83'/84'.",Triangle,5-8 seconds
53.551606,113.142839,Ardrossan+(Canada),AB,8/15/84,"Some time in the summer of 1984,I was living on an acerage outside of ardrossan,alberta.I was about 10 years old and was getting ready ",Oval,2-3 days
46.8138783,71.2079809,Quebec+City+(Canada),QC,8/15/84,White light zigzagging and hovering over Quebec city,Light,5 minutes
28.3922182,80.60771319999999,Cape+Canaveral,FL,8/15/84,"Two bright objects in the night sky in Cape Canaveral, FL.",Light,15 minutes
41.7369803,111.8338359,Logan,UT,8/15/84,A brief description of three separate UFO sightings and encounters.,Cylinder,10 minute
37.7781702,81.1881557,Beckley,WV,8/15/84,Possible abduction from my room.,Unknown,?
45.5864086,75.41686539999999,Buckingham+(Canada),PQ,8/14/84,Red glow from object. Hovered over pond. High in the sky. Unseen source of light.,Unknown,20 Minutes
48.8799647,115.0535001,Eureka,MT,8/14/84,Extra star in the Dig Dipper flew over the mountains North.,Circle,15 minutes
39.9611755,82.99879419999999,Columbus,OH,8/12/84,Football field sized gunmetal gray rectangular craft with bright lights and &quot;windows&quot; hovering silently 100 ft or so above parking lot,Rectangle,10-15 minutes
40.7756184,77.7924992,Boalsburg,PA,8/10/84,Saw A bright light dart across the sky.,Light,45 sec
54.3544585,108.6278776,Dorintosh+(Canada),SK,8/10/84,Observed crop circles while being made........,Sphere,20 minutes
48.7519112,122.4786854,Bellingham,WA,8/10/84,sphere? with connected orbiting strobe which changed colors. No sound,Unknown,20 seconds
39.0997265,94.5785667,Kansas+City,MO,8/8/84,"I was getting ready for bed, when the house starts vibrating,",N/A,1 minute
45.0275126,84.6747523,Gaylord,MI,8/8/84,Pinwheel with star like center.,Other,few minutes
46.8639995,67.9980365,Caribou,ME,8/7/84,Three of us saw a large object with a searchlight darting and traveling over fields in northern Maine.,Egg,15 minutes
46.1375457,89.8854042,Manotowish+Waters,WI,8/1/84,"an unusual light , no sound, changing colors, stopped and looked at us, hovering just on the water,left a trail of red after taking off",Light,1-3 minutes
36.06523,119.0167679,Porterville,CA,8/1/84,UFO sighting.,Disk,30 seconds
48.276577,116.553465,Sandpoint,ID,8/1/84,Day time sighting; UFO Saucer playing loud music.,Disk,45 seconds
41.5278742,73.12761069999999,Middlebury,CT,7/31/84,"I-84 sighting summer Sunday July 31, 1984 at the arch bridge, Middlebury CT 10 pm 15 mins",Other,15 minutes
41.5278742,73.12761069999999,Middlebury,CT,7/31/84,"Sun. July 31, 1984 10-pm sighting Middlebury CT over Police tower I-84 next to South St. arch bridge",Other,15 mins
38.3872703,91.4009896,Rosebud,MO,7/31/84,"Streaking, flaming object seen outside of Rosebud, Missouri",Other,5 minutes
36.7282054,76.5835621,Suffolk,VA,7/25/84,"Large, orangey colored sphere rose slowly from behind trees in the distance and traveled silently across the sky.",Sphere,5-10 minutes
40.624233,74.47593599999999,Watchung+Mountains,NJ,7/25/84,Third Party Witness to Creature,Unknown,5 minutes
39.4667034,87.41390919999999,Terre+Haute,IN,7/25/84,Glowing Arrowhead Shape Craft with Glowing white Trail,Other,1 hour
40.3242673,75.4779561,Perkiomenville,PA,7/24/84,It was hovering over the trees and had bumps all over it..like it may have had different floors.It had many lights like runner lights a,Disk,20 min
