"Date / Time","City","State","Shape","Duration","Summary","Posted"
"11/15/51 06:00","Holloman AFB","NM","Circle","10sec","What I saw was reported in the Albuquerque newspaper as a &quot;green fireball&quot;.  It streaked across the proving grounds at a very low eleva","3/21/03"
"10/15/51 20:00","Jacksonville","FL","Disk","unknown","Sisters observe dark disc in sky over city park; sight landed saucer opening as they hide.","5/11/05"
"8/15/51 13:00","Altoona","PA","Disk","20 min. ?","This a was metalic disk object that wobbled. The reflectioin the object made is what drew our attention. Jet aircraft appeared and obje","9/2/05"
"8/10/51 01:00","Sunland / Tujunga","CA","Circle","4 Seconds","Vehicle was observed in frontial, overhead and trailing edge views as it decended from the North over the San Gabrial mountian range, l","9/2/05"
"7/15/51 14:00","Spokane Valley (Otis Orchards)","WA","Sphere","2-3 hours","UFO over the Spokane Valley 1951","7/4/12"
"7/10/51 23:30","Provo","UT","Disk","30 minutes","Observed a gray, saucer shaped object for 30 minutes, clear blue sky, no clouds, hover, move slowly, and accelerate out of sight.","6/13/02"
"7/3/51 12:00","Green River","WY","Sphere","5 to 7 min","Glowing white spherical large craft (50 to 100 ft dia) travels across mountain range near Green River, Wyo","10/15/02"
"7/3/51 03:00","Calaveras County","CA","Disk","???","A female alien leader visits a catholic school boy in California .","5/4/04"
"7/1/51 14:00","Atlanta","GA","N/A","minutes","As I stepped from my car I spied a really wierd trail forming in the sky over the East side of downtown Atlanta.  Being a photograher, ","12/2/00"
"7/1/51 03:00","Otis Orchards","WA","Disk","~2 minutes","Cigar shaped Disc darting back and forth (East/West), Western shores of Liberty Lake, WA &amp; West, @ &amp;lt; 45 degre angle to So. Horizon","12/23/13"
"6/30/51 19:00","Birmingham","AL","Unknown","3 seconds","I was suddenly aware of most of the sky being filled with a white light. No sound. It moved away quickly (one to three seconds) with no","10/30/06"
"6/30/51 12:00","Johnstown","PA","Disk","10 minutes?","My late father, a WWII veteran, saw a UFO along with many other people while a worker on a local railroad in 1951.","3/10/17"
"6/30/51 07:00","Jackson Heights","NY","Disk","5 seconds","While watching a movie &quot;Captain Horatio Hornblower&quot;, the HMS Southerland in a battle with a French castle and four French ships,(about","12/12/09"
"6/15/51 20:30","Greenville","MS","Disk","5 minutes","Sighting of white lights in evening sky west of Greenville MS circa 1951.","2/14/06"
"6/6/51 02:00","Mount Pinos (beyond ski area parking)","CA","Disk","2 hours","2 ufos seen over mt pinos,  people in sleeping bags gone in morning, airline pilots on ground see objects also","10/8/07"
"6/3/51 13:00","Jasper","NC","Oval","5 minutes","MIDDAY OVAL SHAPE, ANITQUE COLOR OBJECT SITTING HALF WAY BETWEEN TALL PINE TREES AND THE GROUND.","6/20/05"
"6/1/51 19:00","Oklahoma (northeastern part; in-flight sighting)","OK","Cigar","5 minutes","Observed cigar-shaped object flying next to commercial airliner for 5 minutes, pilot commenting on it.","12/16/05"
"6/1/51 07:00","Brandon (Canada)","MB","Disk","30 minutes","Circular Craft and Man in Black Sighted in Summer of 1951 at Brandon, Manitoba, Canada","2/18/01"
"5/15/51 03:00","Fort Sill","OK","Oval","30 minutes","Flight Lights over Fort Sill?","4/16/05"
"4/15/51 00:30","Irving","KS","Disk","5 to 10 minutes","We saw a silver disk hovering in a blue sky during daylight.","8/5/01"
"3/15/51 10:30","Espanola (Canada)","ON","Cigar","15 seconds","Large silvery cigar shaped craft was seen by a 10 year old in Northern Ontario, Canada in 1951.","2/12/04"
"2/15/51 11:00","Los Angeles","CA","Disk","45min.","I was only 8yrs old but I remember it clearly. While at my grandmother's house, my mother sent me to our car to get a sweater for her.","4/9/04"
"2/6/51 13:00","Roswell","NM","Disk","10 minutes","I saw  ufo","10/21/16"
"2/3/51 22:00","Thompsonville","CT","Disk","30 seconds","A golden-orange glowing bowl, flat on top, 2 ft in dia hovered overhead for about 30 sec. then was gone in a streak without  a sound","7/25/04"
"1/20/51 04:30","Palm Springs","CA","Cigar","one and a half hours","01/20/51     Palm Springs CA     light     hour and a half     bluish-white light of worm-like shape        04/09/06","5/15/06"
