lat,lng,city,state,date,specs,shape,duration
43.0730517,89.4012302,Madison,WI,12/28/57,A large fuchia pink cigar shaped object slowly flew over the building.,Cigar,1 hour
63.29499999999999,168.6922222,"Northeast+Cape+AFS,+St+Lawrence+Island,",AK,11/10/57,"Observed target on search radar. Ground speed about 25000 kt, altitude at least 30000ft. recorded on scope camera. observed by other ra",Other,4-5 min
27.8005828,97.39638099999999,Corpus+Christi,TX,11/10/57,"UFO over Corpus Christi near naval yard on November 10, 1957",Light,10 minutes
40.8932469,74.0116536,Teaneck,NJ,11/10/57,Cylinder UFO followed by disc seen in fall of 1957 over northern New Jersey,Cylinder,2 minutes
39.8083196,104.9338675,Commerce+City+(N.+of+Denver),CO,10/15/57,A lot of methane gas in area,Fireball,10 min.
29.6076709,95.17574479999999,Houston+(Ellington+AFB),TX,10/15/57,"5 to 6&quot; diameter light, extremely fast, silent, made an impossible inside 45 degree turn, and sped away horizontally.",Light,3 seconds
40.7282239,73.7948516,New+York+City+(Queens),NY,10/15/57,tall unidentified being enters home - N.Y.C. 1957,N/A,2x3 hrs
34.5442609,91.9690284,England,AR,10/15/57,Unexplained object seen on a clear fall night by a reputable person. 500 Lights On Object0: Yes,Disk,unknown
44.9537029,93.0899578,St.+Paul,MN,10/5/57,A bright light was apparently chased by several military jets.,Light,45 secs
63.29499999999999,168.6922222,Northeast+Cape+AFS,AK,10/1/57,Radar sighting and filming,N/A,10-15min
40.9167654,74.17181099999999,Paterson,NJ,10/1/57,Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ,Disk,10 seconds
42.0216714,91.35988960000002,Martelle,IA,10/1/57,I Fly and have been in Viet Nam and around the world and have never seen anything like it again.,Cigar,unk
61.99194439999999,146.768611,Nelchina+(near),AK,10/1/57,"This incident occurred about October of 1956 or &#8216;57. At the time, I was Assistant station manager for a major airline in Anchorage as",Unknown,3 minutes maximum
36.8656008,87.4886186,Hopkinsville,KY,9/20/57,"4 matalic silver cigar shaped objects; no sound september1957, kentucky",Cigar,10 minutes
47.2528768,122.4442906,Tacoma,WA,9/15/57,"a large disk spacecraft the size of a Boeing 727 seen in the evening skies over Tacoma, Wn.",Disk,20 seconds
29.0338575,95.4343859,Lake+Jackson,TX,9/15/57,fireball seen on country  road.,Fireball,13 sec
31.7618778,106.4850217,El+Paso,TX,9/15/57,Undified Flying Object,Disk,10 min
44.9537029,93.0899578,St.+Paul,MN,9/10/57,"3 UFO's saucer-shaped with flashing lights landed in field next to me, when I approached took off with great speed.",Disk,five minutes
37.2358078,121.9623751,Los+Gatos+(west+of),CA,9/5/57,"3 craft seen in day light, very low altitude and as clear in detail and color as a car on the road.",Disk,one minute or less
41.31977630000001,81.62679039999999,Brecksville,OH,9/1/57,20 ft in diameter glowing ufo landed a few feet from my car .,Circle,3 minutes
40.5891791,80.5205754,Beaver+Co.+{Western+Pennsylvania;+Rte.+288),PA,9/1/57,Multiple witness sighting of cigar shaped craft with many colored lights from less than 100 ft. away.,Cigar,20 minutes
33.1070597,98.589502,Graham,TX,9/1/57,Three shiny spheres over Graham Texas,Sphere,30 sec
40.8831011,85.49747599999999,Huntington,IN,8/17/57,"Directly over head at tree level a Massive, Silent, Hovering Object blocking the  night sky",Triangle,1 hour
44.3012812,116.0895747,Smith's+Ferry,ID,8/16/57,"When a disk UFO passes within a few feet of the truck cab, the Air Force calls it a lost missile.",Disk,10 minutes
42.1945385,71.8356271,Auburn,MA,8/15/57,"this all took place in 1956 or 57. i was 10 or 11 yrs old. it was a warm august night,about 9:30 pm. my friend an i were walking home f",N/A,N/A
42.9814292,70.9477546,Exeter,NH,8/15/57,UFO Incident Exeter Newhampshire 1957,Disk,3 minutes
46.1381676,122.9381672,Longview,WA,8/15/57,My uncle and I were standing outside on a warm summer evening.  We were talking about unions and looking up at the stars.  It was about,Triangle,3 seconds
42.1600936,72.47591899999999,Ludlow,MA,8/15/57,Black silhouetted object against glow of distant town.  Flashing light on one edge. Hovers then drops down out of sight.,Cigar,5 minutes max
38.29519,122.300947,"California+(above,+northern+part+of)",CA,8/14/57,Red Fireball Over Califonia,Fireball,5 seconds
43.8486707,73.4234531,Ticonderoga,NY,8/14/57,UFO buzzed B-47.,Disk,15 seconds
32.7254861,117.222391,"San+Diego+(north+of,+at+sea)",CA,8/9/57,"At least a hundred miles out to sea, a long time ago, in 1957, a very interesting sighting, after midnight.  First report.",Disk,15 minutes
39.768403,86.158068,Indianapolis,IN,8/7/57,Flashing light over Indiana,Light,1 hour
39.6137767,76.095927,Bainbridge/+Port+Deposit,MD,8/4/57,Midwatch spots Fireball headed directly toward barracks.No time to wake shipmates or get out of the way.,Fireball,22sec
39.8906122,84.1988308,Vandalia,OH,8/3/57,Disk with light spining through it's center crossed the sky from south to north in 3 min or less 8/3/57,Disk,5-min.
43.6365693,113.3002844,Arco,ID,8/1/57,A surveying crew of five disturbed a landed craft that lifted up during mid day and then flew away after observing us.,Disk,THREE MIN.
39.0997265,94.5785667,Kansas+City,MO,7/15/57,"car ingulfed in red light, missing time, father decessed now, mother now 75, sister now 44, and self now 54, light remained for what se",Light,3hrs +/-
40.8996191,75.49952329999999,Kresgeville,PA,7/15/57,"As a child, I watched a &quot;star&quot; move slowly around other stars for a period of 20 minutes",N/A,20 minutes
39.7392358,104.990251,Denver,CO,7/15/57,"A supposed star, at a time before there were humanly created objects in orbit, which behaved very differently from the other stars.",Light,15 minutes
40.7607793,111.8910474,Salt+Lake+City,UT,7/15/57,"5 Silver Saucers flying from over the Salt Lake, and flying over the Oquirah Mountains towards Dugway",Disk,15 min
33.7700504,118.1937395,Long+Beach,CA,7/15/57,Three disks stationary in a triangle formation during the day surrounded by a mirage effect seemingly caused by heat.,Disk,2 minutes
41.2411897,77.00107860000001,Williamsport,PA,7/15/57,"A small, cigar-shaped object entered my field of vision while I was standing on the back porch of second-story apartment building.",Cigar,2 Minutes
29.7604267,95.3698028,Houston,TX,7/15/57,broad daylight  incident in Houston about 1957,Diamond,2 min
34.1072305,118.0578456,Temple+City,CA,7/15/57,Lights over Mt Baldy California 1957 as seen by ten honest men,Light,15 min
38.4278605,82.457099,Chesapeake,OH,7/13/57,"A silent,spinning daylight disc.",Disk,10 minutes
39.2903848,76.6121893,Baltimore,MD,7/10/57,"ON THE ABOVE DATE,MYSELF AND THREE OTHER BOYS HAD ENTERED THE BACK GATE OF THE CARLINS DRIVE INN THEATER TO SEE A MOVIE.  WE HAD BEEN T",Other,1 minute
40.69370989999999,75.1901761,Phillipsburg,NJ,7/10/57,"cigar shaped, after nightfall, Phillipsburg NJ, witnesses",Cigar,7 minutes
29.3708857,100.8958674,Del+Rio,TX,7/1/57,Owners New Car Has Paint Purned Off By UFO.,Cigar,HALF HOUR
37.6515095,80.7542478,Talcott,WV,7/1/57,"A sphere that looked like a white light came across the horizon from West to East, an Air Force Jet followed about 3-4 sec later.",Sphere,10 - 15 sec.
37.5821796,81.3814646,Mullens/Pineville,WV,7/1/57,USAF JETS BELIEVED TO HAVE SHOT AT OR DESTROYED UFO'S OVER THE SKYS OF WEST VIRGINIA IN THE LATER 1950'S.,Oval,3 minutes
37.88687,122.2977475,Albany,CA,6/30/57,"What looked like a moving star and a stationary star seemed to collide, whereupon the stationary star also began to move.",Circle,"around 1 minute, estimate"
42.284664,75.92309759999999,Barker,NY,6/30/57,"1957  Four miles south of Barker NY, 6 kids, 1 adult saw saucer at dusk, 2 kids saw it again in daylight next day",Disk,3 minutes
35.2784173,93.1337856,Russellville,AR,6/30/57,"Huge orange ball floating over Russellville, Arkansas, in late 50s.",Sphere,10 minutes
40.8076529,91.1128901,Burlington,IA,6/30/57,"Slow travel when observed, followed by an abrupt direction change with unbelievable acceleration.",Circle,90 seconds
40.7127837,74.0059413,New+York+City,NY,6/30/57,glowing lights lead the way,Teardrop,i0min
