"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/16/54 16:50","Yucaipa","CA","Oval","1:10","Luminous oval over Yucaipa, similar object reported by L.A. newspapers over Inyokern Air Base","11/28/07"
"12/15/54 23:10","Red Bank","NJ","Circle","3-5 min.","Bright orange light, about the size of a pea at arms length, moving slowly from the west to NE.  I was a soldier, stationed at Ft. Monm","8/19/00"
"11/14/54 01:00","Thelma (south of)","TX","Disk","5 MINUTES","11/14/1954   WHILE HUNTING OBJECT CIRCLED, LANDED AND THEN TOOK OFF STRAIGHT OUT OF SIGHT.","9/2/05"
"11/1/54 18:30","Denver","CO","Fireball","10 Seconds","I was approximately 12 years old when I saw this UFO.  I haven't told a lot of people about it.  I thought because I was so young at th","8/5/01"
"10/15/54 21:30","Manistee","MI","Circle","8 seconds","Saucer shaped, moved north to south directly above the street, no sound, moon was to the east","1/21/08"
"10/15/54 16:30","Blanco","TX","Other","3-5 mins","We saw a silver football, motionless in the sky; stopped , looked about 3-5 mins. and resumed the trip.","4/27/04"
"10/1/54 19:00","Flatwoods","WV","Circle","1 minute","I saw the craft go across the horizon.  It appeared to be on fire, I first thought it was a plane going down.  It landed near a farm.","4/12/13"
"9/15/54 09:30","Palmer Township","PA","Other","9-10 minutes","Saturn-shaped object appearing over the Pennsylvania night sky in the fall of 1954","11/28/07"
"9/9/54 12:30","Beaumont","TX","Disk","5 MINUTES","Aprox. 30 Disk shaped UFOs fell out of clouds got in V formatin  and shot toward a black rain cloud avoiding a Jet Plane.","1/17/04"
"9/1/54 13:00","Geneva","NY","Disk","couple of minutes","While marching on a bivouac maneuver in (?) September 1954, I caught a glimpse overhead of a disc-shaped, metallic in color object that","10/15/03"
"8/24/54 05:00","Parent (Canada)","QC","Other","3-4 minutes","Capsule shaped copper coloured object hung motionless over the domestic site for approximately three or four minutes","11/21/10"
"8/15/54 21:00","Puyallup","WA","Oval","a few seconds","The object was hovering above the treetops over the road a short distance in front of my car...","4/16/05"
"8/1/54 22:00","North Hollywood","CA","Light","30 min","Star like point of light slowly travelling across the sky in 1954","2/3/12"
"8/1/54 21:00","Canton","PA","Disk","30 seconds","Large, silver-blue disc shaped oject which gave off high pitched sound and was slowly turning on its axis and then suddenly sped away.","4/16/05"
"8/1/54 17:00","Dyer","IN","Triangle","15 seconds+++","I saw a silent exhaustless golden glowing slow flying triangle on a late summer afternoon In 1954 or 1955.","6/4/04"
"8/1/54 12:00","Farmingdale","NY","Oval","30+min.","Sphere  -30 min. - Stationary, bright object over Jet Factory  -1954","9/24/03"
"7/15/54 22:00","Bridge Hampton","NY","Light","Less then 1 second","High speed object zig-zagging down at a 170 Degree angle - Brookhaven direction","5/27/03"
"7/15/54 22:00","New Toronto (Canada)","ON","Circle","10 minutes","it was a white round object which was the same sizes as the full moon","6/12/02"
"7/15/54 21:00","Kansas City","KS","Chevron","3 minutes","MISSOURI INVESTIGATORS GROUP Report:  Two brothers witness chevron-shaped object streak across sky.  PD))","6/12/08"
"7/15/54 21:00","Oakdale","NY","Disk","45 seconds","Three highly luminesce objects in a &quot;V&quot; formation gliding through the black night sky.","8/28/02"
"7/15/54 14:00","Greenfield (Rural area, 6 miles so.)","IN","Cigar","5 min","This all occured when I was still a child and living on a farm. My mother, our next door neigbor's wife, and myself, were standing outs","8/16/02"
"7/15/54 11:00","Philadelphia","PA","Disk","1 hour","I saw 2 alabaster white perfectly round objects over our ball field as they hovered over us for about an hour ,then they were gone.","4/16/05"
"7/12/54 17:30","Morroco (4 miles south of)","IN","Changing","10-15min","I WAS 12, RIDING WITH AN UNCLE AUNT AND GRANDMOTHER ON US 41 MY UNCLE EXITEDLEY STATED PLANE WAS CRASHING TO THE GROUND.A FLAMING OBJEC","3/21/03"
"7/7/54 22:00","West Columbia","SC","Formation","abt. 10 min.","3circles together, very bright lighting around them and on them, silver, like 3 wedding rings together","3/4/03"
"7/7/54 20:00","Walnut Creek","CA","Unknown","5 minutes","I have not reported this before. I feel it should be recorderd somewhere. My friend and I used to take time-lapse photos of the stars a","9/29/04"
"7/1/54 22:00","Los Angeles","CA","Circle","15 seconds","In 1954, I saw a red glowing disc traveling thousands of mph straight over the Los Angeles night sky.","2/4/13"
"7/1/54 21:00","St. Louis Airport (Lambert Field)","MO","Oval","20 sec.","EXTREMELY bright, red oval near airport.  Object suddenly accelerates and STREAKS over horizon.","12/2/00"
"6/30/54 15:00","Pasadena","CA","Circle","5 minutes","An incandescent white circular object passed over Pasadena, CA and ejected a smaller version of itself.","4/14/09"
"6/30/54 12:00","Hawthorne","CA","Light","several minutes","Stationary light for several minutes (far away), takiing off suddenly at great speed.","10/30/06"
"6/25/54 03:30","Thrifty","TX","Circle","45 seconds","6-25-1954, Red circle of light in Thrifty, Texas.  USA.","3/21/14"
"6/23/54 23:00","Langley Air Force Base","VA","Circle","30 minutes","Object appearing larger than a full moon hovering over hangers moved at varying speeds and made 90 and 180-degree turns.","3/16/00"
"6/23/54 02:00","Lorton","VA","Other","minutes","My Mother heard what she believed was a UFO.","11/8/03"
"6/15/54 19:00","Orchard Park","NY","Disk","10 minutes","Observed small gray disk.","3/23/17"
