"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/92 23:00","Bristol","VA","Other","1 hour","Explosion of lights appear upon request","10/15/03"
"12/24/92 22:00","West Monroe","LA","Disk","2 hours","Documented. The firefighters, State Police, and Sheriffs Office were called out to investigate a strange object in sky.","7/5/99"
"12/24/92 20:00","Cincinnati","OH","Triangle","5 min.","Our sighting was a classic triangle type U.F.O though it seemed more phoenix shaped to us,It was christmas eve we just finished ourlate","3/7/98"
"12/15/92 20:45","Elkland","MO","Oval","about 15 minutes","I was followed by an oval shaped object for several miles and it took off rapidly after I shined a spotlight on it.","6/23/10"
"12/15/92 20:00","Fairview (Scott County)","VA","Disk","5 to 8 minutes","Two saucer-like objects with lights floating along a valley seen by two witnesses, went up the mountain and disappeared.","5/24/05"
"12/15/92 05:55","Lenox","MA","Disk","4 min","It came up through the trees and had red lights spaced around it. I could see it plain as day in front of me","10/31/03"
"12/12/92 00:00","Fonthill (Canada)","ON","Fireball","3-5 minutes","fireball seen ~ 3-5 foot 'grey' alien being seen.","1/10/14"
"12/8/92 21:00","Exeter","NH","Diamond","seconds","I saw three diamond shaped lights in Exeter NH back in the 90's.","6/3/03"
"12/8/92 18:00","St. Julie (Canada)","QC","Changing","5 Minutes","Light observed at close range with changing size and vanishing act","1/17/04"
"12/1/92 02:00","Ottawa (Canada)","ON","Sphere","20 seconds","Myself and a friend saw a spherical (football shaped) object hovering approximately 100 feet up and approximately 500 feet away in a no","2/16/99"
"11/28/92 22:30","Los Angeles","CA","Other","4.5 hrs","Bright white football shaped object, turned neon green and shot off horizontally  500 Lights On Object0: Yes","3/19/09"
"11/27/92 19:50","Columbus","OH","Disk","two minutes","Drove right underneath a UFO while on the freeway--saw 3 more UFOs","3/8/07"
"11/25/92 04:30","Santa Cruz","CA","Light","5 minutes","I was driving down the highway 17 to highway 1 south junction..  A light enveloped the car.  I pulled over and got out of the car.  I l","12/3/04"
"11/20/92 17:00","Little Tensas","LA","Unknown","30 seconds","Bright star, that leaves the sky with high speed capabilities.","8/15/14"
"11/18/92 19:00","New York City (Brooklyn)","NY","Formation","5 minutes","Pool Rack formation seen over an Army Base in Brooklyn, NY during a meteor shower","1/31/04"
"11/15/92 23:00","Atlantic Ocean","MA","Disk","N/A","commercial fisherman.  early am . leaving  ryders cover  --first light-- november-- this event ruined my life .. I have never been the","1/10/09"
"11/15/92 22:15","Two Rivers","WI","Triangle","1992","My cousin and I were coming home from the restaurant that we owned.We left work around 10:00 p.m. at night with my cousing driving and ","2/18/01"
"11/15/92 20:00","Fish Creek","WI","Triangle","15 mins","Slow moving large triangle craft seen at close range, 1 white light in front 2 red in back, Low hum.","7/16/06"
"11/15/92 18:30","San Jose","IL","Light","3-4 minutes","Sighting of 5 or 6 orange lights in the sky.","10/3/13"
"11/15/92 10:00","Sage","CA","Oval","45 seconds","Very bright like alumium when the sun shines on it and hovered in one place for about  45 seconds.","5/24/05"
"11/13/92 19:00","Walla Walla","WA","Triangle","1-2 hours","6+ships","9/2/05"
"11/10/92 23:30","Dekalb","TX","Rectangle","30 minutes","My son and I saw the first craft coming from a northerly direction across the Red River in Northern Bowie County.  It came in at an inc","9/2/05"
"11/6/92 22:35","Hartford","CT","Rectangle","8 minutes","A huge, dark, rectangular craft in CT.","3/20/15"
"11/6/92 15:30","Jerseyville","IL","Disk","ten min.","saucer approached jerseyville boy only 60 feet away and 30f feet above ground.","5/24/05"
"10/31/92 22:00","Jackson","MI","Fireball","15 seconds","Saw what appeared to be a meteor at first, but discovered differenty.","9/13/02"
"10/31/92 21:30","Connellsville","PA","Unknown","unknown","Halloween ufo","12/2/00"
"10/31/92 19:00","Osterville","MA","Rectangle","10 seconds","A seemingly close object with a rectangular pattern of lights moved silently","11/26/03"
"10/29/92 09:00","Memphis (Frayser)","TN","Fireball","10 minutes","A beach ball white orb at tree tops level traveling south at 5mph.","5/15/13"
"10/23/92 18:00","Medway","OH","Disk","5-10 minutes","USAFB by Medway, Ohio, noticed a real Spaceship . it was zooming all over the sky.  No plane or helli possible.","2/4/13"
"10/23/92 09:00","Orange Park","FL","Circle","5 minutes","Military hiding UFO at training camp.","5/15/06"
"10/22/92 21:30","Oak Creek","CO","Unknown","15 minutes","At 9:30 in the evening on a clear night,we saw five or six objects over the top of the mountain behind our house.The objects zipped","1/17/04"
"10/19/92 14:00","New York City (Queens)(Jamaica)","NY","Disk","8 seconds","Octagan craft with lights over a hundred feet wide seen upclose","9/24/12"
"10/16/92 23:00","Pittsburgh","PA","Disk","2 minutes","Bright light on small disc craft January &amp; October 1992 Bates &amp; McKee Pittsburgh, PA","4/18/12"
"10/15/92 22:00","Cincinnati","OH","Light","Few seconds","Spectrum colored lights move across the sky and from them emerges a white light.","5/29/11"
"10/15/92 21:00","Miami/keys","FL","Light","30 minutes","UFO checked us out  on the water at night while cruising to Miami, Oct 1992","9/2/05"
"10/15/92 18:00","Lubbock","TX","Cigar","20-30 minutes","The object was hidden in a cloud.","7/25/04"
"10/15/92 10:15","Gardnerville","NV","Light","15 seconds","Observed object bluish/white in color streaking toward the surface of earth; then change directions instantly heading back into the s.","1/17/04"
"10/15/92 06:50","Wilsonville","OR","Light","15 sec.","Woman repts. seeing &quot;round, flashing lights&quot; moving S to N while in hospital.","11/2/99"
"10/13/92 17:20","Death Valley","CA","Triangle","20. Min","Large Black Triangle emits flares, watched for over 20 min.  Very ironic circumstances","2/24/07"
"10/11/92 10:00","Albuquerque","NM","Sphere","15 minutes","Six Spheres of light move into my vision over the 92 Albuquerque Balloon Fiesta,then vanish straight up.","3/6/01"
"10/10/92 22:00","Weatherford","TX","Unknown","30 seconds","Black or dark grey.  Too big, too low, too slow, too quiet, for a normal aircraft.","9/2/05"
