lat,lng,city,state,date,specs,shape,duration
40.1784471,74.02180369999999,Bellmar,NJ,12/24/65,"delta shaped object, missing time",Triangle,1 hour
40.2270204,78.93641400000001,Davidsville,PA,12/24/65,I personally witnessed this sighting while hitchhiking back home while in the Navy.  It was a clear night while walking within 4 miles,Light,5 Minutes
29.7604267,95.3698028,Houston+(west+of),TX,12/22/65,"45 of us were  on the Bus, standing  to see the objects, then flash, and everyone was in their seats again",Formation,3 minutes
34.9495672,81.9320482,Spartanburg,SC,12/12/65,"FLASH IN THE SKY, BRIGHT LIGHT IN THE WINDOWS OF THE OBJECT. THE NIGHT WAS CLEAR",Oval,2 min
29.8832749,97.9413941,San+Marcos,TX,12/10/65,"What happened on that buss in 1965, in Texas",Light,1 minute
42.0027181,72.5441445,Enfield,CT,12/9/65,Possible sighting of the Kecksburg UFO,Fireball,5 minutes
41.5623209,72.6506488,Middletown,CT,12/9/65,fireball the size of the house  on 12/29/1965 about 5:00 pm,Fireball,2 min.
42.0027181,72.5441445,Enfield,CT,12/9/65,"Giant FireBall streams across the evening sky of Enfield Connecticut, was Hartford responsible, was Mark Twain given a final send -off!",Fireball,2 minutes
42.0027181,72.5441445,Enfield,CT,12/9/65,Charting a UFO and identifying its points of origin.,Circle,2 minutes
42.0027181,72.5441445,Enfield,CT,12/9/65,"Coincidence with later Sighting in 1982 in Great Falls, Montana that seems to have been totally removed from the publics view.",Circle,2 minutes
39.7818322,75.1821597,Mantua,NJ,12/9/65,"an object like an airplane fusilage without wings  flames from it were going up not,  i repeat, not trailing the object",Cigar,2minutes
47.9928677,122.8660022,Fairmont,WA,12/9/65,In 1965 i was 9 years old and me and mt sister saw a fire ball craft tha looked like a acorn shaped craft somewhat like a bell with sim,Other,10seconds
40.44062479999999,79.9958864,Pittsburgh,PA,12/9/65,HBCCUFO CANADIAN REPORT:  I Saw The Kecksberg UFO!,Unknown,5 seconds
41.7003713,73.9209701,Poughkeepsie,NY,12/1/65,"Early evening  encounter at intersection near Arlington High School with object hovering obove interestion, then quickly disappearing.",Triangle,5 min
36.7544746,98.3567403,Cherokee,OK,11/23/65,"There was one silver metallic craft with small lights, no sound, no windows, no red or green lights, and no blinking light.",Other,5 minutes
38.9331669,76.9458078,Colmar+Manor,MD,11/15/65,The moon took up the entire skyline!,N/A,5 minutes
