"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/06 23:00","Whittier","CA","Circle","3-5 min.","The sighting happend in the front of my neighbors house,everyone was outside and we were all celebrating new years eve.My neighbors dad","2/1/07"
"12/31/06 23:00","Imperial Desert","CA","Oval","New Years Eve","The Object was more round than Oval. It was behind the cloulds ,the moon was very bright that night so you could see very good. I looke","2/1/07"
"12/31/06 22:30","Paramount","CA","Light","2 minutes","Five Lights Sighted Over LA Area on New Year's Eve.","2/1/07"
"12/31/06 22:00","Brawley","CA","Circle","2 minutes","Strange object left hole in the cloud","2/1/07"
"12/31/06 22:00","Merritt Island","FL","Circle","1-2  minutes","Orange ball hovering over a river south of the Space Center in Florida","2/1/07"
"12/31/06 21:47","Fairbanks","AK","Fireball","4 minutes","We were on the porch the orange object went from east to west across the town sat on the west side for 45 seconds then went into space.","12/20/12"
"12/31/06 20:30","Philadelphia","PA","Unknown","5-10 min.","3 lights in the sky","2/1/07"
"12/31/06 19:45","Tecumseh","OK","Light","40 seconds","Bright light flying past in the night.  ((NUFORC Note:  Witness is former member of USAF.  PD))","2/1/07"
"12/31/06 18:52","Red Bluff","CA","Light","3 to 4 minutes","Regular appearence of straight traveling lights","2/1/07"
"12/31/06 18:00","Foresthill","CA","Circle","several seconds","It was dusk, and I saw a large, glowing object moving in the sky, &amp; took a photo of it as quickly as I could get my camera out. It sort","2/1/07"
"12/31/06 17:30","Milwaukee","WI","Egg","30 sec","while cooking steaks on 12/31/06 at 1730 hours i looked to the south west skys on a 45 degree angle and noticed tew egg or football sha","2/1/07"
"12/31/06 16:30","East Mesa","AZ","Fireball","15 minutes or more","White fireball in NE Mesa New Year's Eve","2/1/07"
"12/31/06 15:00","Warren","VT","Other","30 sec","It looked like a big mirror about 1000 ft above the ski area.  saw it for 30 sec then it went behind the mountain.","2/1/07"
"12/31/06 15:00","Danville","IL","Unknown","2 minutes","Far away stationary object seen then suddenly disappeared","2/1/07"
"12/31/06 14:20","New York City","NY","Sphere","15 minutes+","small, glowing spheres over new york city, during the day on new year's eve","6/12/07"
"12/31/06 11:59","Santa Rsoa","CA","Light","5 min","17 objects in the sky moving in a side to side and up and down pattern.  All 17 objects moved away and slowly faded away as if they wer","2/1/07"
