"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/15/45 02:00","Roswell","NM","Sphere","1 minute","Sphere in Roswell. Were aliens looking for thier dead ?","12/23/02"
"8/16/45 11:30","San Antonio","NM","Oval","8-9 DAYS","THE CRAFT APPEARED TO HAVE DECENDED AT AN ANGL, SKIDDED OVER A HUNDRED YARDS PUSHING THE DIRT IN FRONT OF IT AND BURIED IT'S SELF","11/11/03"
"8/8/45 12:00","Huntington Beach","CA","Disk","5 MINUTES","MY DAD SAYS HIS AUNT AND UNCLE SAW THIS CRAFT IN 1944 OR 1945 DURING THE DAY IT HOVERED OVER THEM FOR ABOUT 5 MINUTES IN THE AREA OF BU","1/17/04"
"7/15/45 14:00","Dallas","TX","Sphere","2 hours ?","A round ball of fire .  Not a wisp of cloud. My mother and I were sitting on our back steps in the shade, very hot.  This ball moved al","10/12/01"
"7/10/45 01:30","Portsmouth","VA","Formation","3 min","1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .","11/26/03"
"6/7/45 07:00","Winston-Salem","NC","Disk","seconds","I always thought this sighting should be on an official list, now, 60 yrs. later, it is.","9/2/05"
"6/1/45 13:30","Jasper","FL","Fireball","5minute","I belived it would be to our best Intrest to check this out .","11/21/10"
"6/1/45 12:00","Salinas AFB","CA","Disk","30 minutes","ufos belong to the US Air Force","1/5/11"
"1/1/45 12:00","Ft. Lee","VA","Cigar","short","Multi-colored object near Army base, 1945","4/16/05"
