lat,lng,city,state,date,specs,shape,duration
43.95486349999999,90.7345708,Camp+McCoy+(enroute+to),WI,12/30/52,1951-2 winter sighting,Cylinder,30 minutes
41.8781136,87.6297982,Chicago,IL,12/6/52,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,Other,45 sec.
46.2856907,119.2844621,Richland,WA,10/15/52,Night sighting of seven large luminous UFOs flying in &quot;V&quot; formation,Circle,5 seconds
48.421216,122.3340474,Mount+Vernon,WA,10/15/52,"1952 sighting of cigar shaped craft over Mount Vernon, Washington.",Cigar,3 minutes
39.0997265,94.5785667,Kansas+City,MO,10/1/52,1952 daylight sighting of multiple discs in formation,Disk,90 sec.
44.7130794,69.7905955,Norridgewock,ME,9/15/52,"SUNNY DAY, WITHIN 450 FEET, LOW...REPORTED TO DOW A.F.B.   IN BANGOR. NO NOISE SLOW ANTI GRAVITY DEF. NOT FROM EARTH!",Disk,4-5 MINUTES
39.9525839,75.1652215,Philadelphia,PA,9/9/52,saucers in a line over Phila Pa.,Circle,3 minutes
39.3995008,84.5613355,Hamilton,OH,8/15/52,Silent bright light passes overhead.,Light,8 min.
35.9759145,94.3177103,Prairie+Grove,AR,8/15/52,Two observers saw silverish 30 foot disk maneuver above and below horizon at hover and supersonic speeds.,Disk,00:20
29.8030042,98.3587191,Smithson's+Valley,TX,8/15/52,"2,500 long cigar shaped object hovered over a hill for about 20-minutes.",Cigar,20-30 minutes
27.950575,82.4571776,Tampa,FL,8/1/52,"Triangulation radar fix (USAF, civil, Navy).  I ordered intercept by SAC B-29.  B-29 tracked object. Central fire control system locked",Oval,2 hrs. 30 min.
41.9698686,71.47357989999999,Manville,RI,7/30/52,Group of lights moving across sky during daylight hours.,Sphere,10 seconds
47.2528768,122.4442906,Tacoma,WA,7/25/52,Six spheres flying in formation close to an Air Force base by Tacoma Washington.,Sphere,30 seconds
34.001778,88.7553293,Okolona,MS,7/22/52,Oval UFO paces occupants in automobile for 5 minutes on major highway,Oval,5 Min.
40.8447819,73.8648268,New+York+City+(Bronx),NY,7/15/52,My friends and I were sitting on the roof of a building and saw 6 rows of 6 stars in formation then did a 90 degree turn in formation,Other,2 minutes
47.4956579,121.7867775,North+Bend,WA,7/15/52,old sighting (1952 0r '53) of daylight object seen from approximately 50 '.,Other,2-3 minutes
33.954737,118.2120161,South+Gate,CA,7/15/52,"I was about 11 years old at the time, and a friend of the same age was visiting.  We both saw what look like a halo in the sky.  Within",Circle,1 minute
41.9589657,76.4331698,Litchfield,PA,7/15/52,We now cannot believe there was jets where we saw them,Other,5 minutes
43.4402738,80.4295226,unknown,CA,7/15/52,"This movie was filmed in 1952, a huge year in the history of ufo sightings",Disk,seconds
33.7857948,118.2643567,Wilmington,CA,7/15/52,"Three flying saucers suddenly appeared  in the sky, hovered, darted forwarded, hovered, then disappeared.",Disk,1-2 minutes
38.8799697,77.1067698,Arlington,VA,7/13/52,"1952 green disc-shaped object circling over Washington, DC area",Oval,20 min
32.735687,97.10806559999999,Arlington,TX,7/7/52,Daylight sighting of a Disk,Disk,15 Minutes
39.6333213,105.3172146,Evergreen,CO,7/7/52,"abducted, and a lifetime of ufo experiences",Circle,4 hours
47.2528768,122.4442906,Tacoma,WA,7/5/52,6 spheres flying in formation over military base in Tacoma Wash. the size of 747's.,Sphere,2 MINUTES
42.331427,83.0457538,Detroit,MI,7/1/52,object sits stationary for 5 minutes and then accelerates out of sight in 5 seconds.,Sphere,5 minutes
46.6299599,95.0889136,Sebeka,MN,7/1/52,Silver donut shape object sighted over rural Minnesota.,Other,30 min
25.7616798,80.1917902,Miami,FL,6/30/52,dislike for nuclear weapon testing,Light,N/A
25.7616798,80.1917902,Miami,FL,6/30/52,I could not move at first.,Disk,few hours
25.7616798,80.1917902,Miami,FL,6/30/52,No one is able to believe,Disk,1 to 5 hours
47.30732279999999,122.2284532,Auburn,WA,6/30/52,Early nighttime sighting of huge oval object for 1 minute.,Oval,1 minute
40.8447819,73.8648268,New+York+City+(Bronx),NY,6/30/52,We were flying kites on the roof when someone yelled look at that.A disk was(approx.the size of a dime at arms length) was sitting in t,Disk,1 minute
25.7616798,80.1917902,Miami,FL,6/30/52,Frozen stiff by light watching me  500 Lights On Object0: Yes,Light,Unknown
32.4945794,93.67826040000001,Barksdale+AFB+(Shreveport),LA,6/30/52,"In 1952 I was stationed at Barksdale AFB in Shreveport La.  about 6 AM this cigar shaped UFO, about 100 yds long, approached about 800",N/A,N/A
31.4229124,103.4932293,Pecos,TX,6/30/52,West Texas to Carlsbad NM,Disk,1-2hrs
39.849557,75.3557457,Chester,PA,6/22/52,My parents &amp; I &amp; my brother were walking to a resturant &amp; we saw 4 flying objects flying in formation.  My father called out to two wom,Oval,5 min.
33.9866807,118.185349,Maywood,CA,6/15/52,7 balls of *orange moon* lights in 2 V formations observed for 3 to 5 minutes until all sped off in 7 differen directions,Circle,3-5 minutes
30.3321838,81.65565099999999,Jacksonville,FL,6/15/52,"extremely fast triangle shape object with one light on rear comes to a sudden stop, then seems to shoot out of sight",Triangle,30 seconds
39.9322805,85.8483187,"Fortville+(2-3+mi.+N.+of,+State+Road+13)",IN,6/13/52,"3 saucer-shaped objects flying fast (with wobbling motion) from N. to S. at a medium-high altitude--no sound, no trails, only silence.",Disk,18-20 sec.
41.7557501,124.2025913,Crescent+City,CA,6/12/52,"I looked up over the ocean at 11:30am 1952, Crescent City, California, I seen 3 triangle objects that came from the West, they were abo",Triangle,25
41.7396861,87.5544182,Chicago+(south+suburb),IL,6/10/52,"My sighting of two objects in Chicago, IL as a pre-teen in the early 50's",Circle,10 minutes
39.6333213,105.3172146,Evergreen,CO,6/6/52,Childhood abduction and mental and visual encounters through out life.,Disk,5hrs
43.014176,88.4725983,Dousman,WI,6/1/52,Silver monkeys that were about 3-4 feet tall.,N/A,10 seconds
47.3818017,122.8298029,Allyn,WA,5/15/52,Close encounter involving physical examination in unknown craft.,Disk,3 hrs.
40.4158133,80.0051089,Pittsburgh+(110+mi.+E+of),PA,5/15/52,Senior corporate pilot and company officers witness a peculiar object from the cockpit of a DC-3.,Cylinder,30
33.1384488,96.11080659999999,Greenville,TX,4/15/52,-SAW TWO SMALL 3-4 FOOT TRIANGULAR SHAPED DULL METALIC OBJECTS BELOW THE CLOUDS MOVING IN A SYNCRONIZED MANNER  ROLLING END OVER END AN,Triangle,1-2 MINUTES
41.8781136,87.6297982,Chicago,IL,4/15/52,"HBCCUFO CANADIAN REPORT:  1952 metallic, silver round or saucer shape object.",Disk,approx: 45 minutes
36.2414162,115.0508066,Nellis+AFB+(Las+Vegas),NV,2/17/52,We are dealing with something very real.,Disk,30 mins
42.09868669999999,75.91797380000001,Binghamton,NY,2/10/52,"1952 UFO  disk outside Binghamton, NY  Girls' Club stops for a look at teenage females",Disk,10-15 minutes
