lat,lng,city,state,date,specs,shape,duration
41.5833688,87.5000412,Hammond,IN,12/28/66,"Triangle shaped object with flashing lights, Hammond Indiana ( Hessville ) 1966 or 1967",Triangle,one minute
42.2711311,89.0939952,Rockford,IL,12/25/66,Close encounter experience. 500 Lights On Object0: Yes,Unknown,1 minute plus
44.9428975,123.0350963,Salem,OR,12/19/66,"Strange Orange lights seen on the same day, at the same time, thirty six years ago.",Disk,30&quot;
40.1303822,75.51491279999999,Phoenixville,PA,12/15/66,mind blowing speeding discs.,Oval,2 events one short one lo
40.09898510000001,75.4690966,Valley+Forge,PA,12/15/66,Ball decending toward home about 50 yds. away and about 50 ft. high..Son panicked and ran into house thinking it was a plane about to c,Sphere,6 mins
42.4694321,93.8159149,Webster+City,IA,12/15/66,Two silent and slowly moving red spheres suddenly accelerate and vanish.,Sphere,2 minutes
41.0381525,74.2940378,Wanaque,NJ,11/25/66,Oval shaped object floating along tree top level.,Oval,30 Seconds
36.09985959999999,80.244216,Winston-Salem,NC,11/15/66,"3 white lights high in the sky,making a 90 degree fast turn",Triangle,50-60 sec
33.660297,117.9992265,Huntington+Beach,CA,11/15/66,Ring of blue lights approx 200 in diameter slowly flying cross night sky at 500 feet in 1966,Circle,10 seconds
27.8005828,97.39638099999999,Corpus+Christi,TX,11/14/66,I saw an oval shaped object that stood in the air and made square turns and left almost straight up at thousands of miles per hour. I,Oval,4-5 minutes
40.7062128,73.6187397,Hempstead,NY,11/11/66,"Other,   moving   starlike  cluster",Unknown,one  minute +/-
47.6062095,122.3320708,Seattle,WA,11/11/66,"Driving around after swingshift to relax. Drove by familiar watertower; a red, flashing light caught my eye--to bright for the tower li",Disk,2 minutes
57.74146099999999,152.5032978,Kodiak+Naval+Station,AK,11/10/66,I cannot find reports from Elmendorf AFB concerning bogies near the Anchorage area where our radio relay crew working the old White Ali,Formation,approx. 6 hrs
25.9023168,80.25032709999999,Opa+Locka,FL,11/1/66,"2 oblong flying UFO's, military called out",Cylinder,N/A
25.7616798,80.1917902,Miami,FL,11/1/66,In response for information about the event at Crestview Elementary I can confirm the event did happen. I lived on the same street abou,N/A,N/A
25.5516034,80.6326916,North+Dade+County,FL,11/1/66,"Crestview Elementary, North Dade County, Florida circa 1966/1967.  Second-hand account of taped interview with eye witness",Unknown,4 hours
25.9023168,80.25032709999999,Opa+Locka,FL,11/1/66,"UFO sighting at Crestview Elementary School in Opa Locka, Florida around 1966.",Disk,late am to early pm
25.9023168,80.25032709999999,Opa+Locka,FL,11/1/66,Did anyone see the UFO's hovering over OpaLocka Elementary School around 1966-67?,Chevron,>12 hours
30.3674198,89.0928155,Gulfport,MS,10/30/66,"15 feet  across, Egg shaped, Internally Glowing Very Bright, Briliant, SOLID RED Colored Objects slowly passes over street.",Egg,South to North
35.6869752,105.937799,Santa+Fe,NM,10/21/66,"My sighting in Santa Fe,New Mexico",Disk,-5 minutes
35.0853336,106.6055534,Albuquerque,NM,10/20/66,"Former wife and I saw a saucer shaped craft, rotating counter clockwise, as seen from under-full moon night, or near- 1/4 to 1/2 mile a",Diamond,3 minutes
37.7374951,121.8793341,Fremont+(Russian+River),CA,10/15/66,First UFO sightings as a teenager in the 1960's: three events,N/A,Varies
43.100903,75.232664,Utica,NY,10/15/66,"i and a friend were coming home one cold fall evening outside of Hugh R. Jones Elem. School . There was a triangle of a red, green, whi",Triangle,3minutes
45.13403,118.9324815,Ukiah,OR,10/15/66,"Orange oval 40 ft in diameter, twenty ft off the ground, appoxumate 100 ft from me.",Oval,20 minutes
34.2077859,117.1092049,Running+Springs,CA,10/15/66,Around 7 pm on a tues in oct 1966 on my way home from work   while driving up the rim of the world high way or highway 18 from skyfores,Disk,20 min
39.42782529999999,86.4283279,Martinsville,IN,10/15/66,Craft hovered about 20 feet above barn. Lights in horizontal orientation for about 30 seconds and then darted away. Others saw.,Disk,1 minute
