"Date / Time","City","State","Shape","Duration","Summary","Posted"
"10/15/55 20:00","Rhinebeck","NY","Light","40 minutes","This very distant star-like point of light came very slowly up over the treeline from the Southwest, stopped.","7/19/10"
"10/9/55 18:00","West Covina","CA","N/A","4 sec","Brilliant green meteor heading north west from view in California near L.A.","1/22/04"
"10/3/55 06:00","Stanley (near) (Canada)","NB","Disk","2 Hours","This is a true story as given to me","4/16/05"
"10/1/55 22:00","Mono Lake (area)","CA","Circle","five seconds+/-","NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER, WITH NO SOUND !","3/19/09"
"9/10/55 23:00","Bullhead (Davis Camp)","AZ","Disk","unknown","ufo getting power from dam","10/31/03"
"8/17/55 21:00","Covina","CA","Disk","10 minutes","It was about 1500 ft up. It just stayed there in one spot for 10 mins then was gone.","9/29/04"
"8/15/55 00:01","Eagle Pass","TX","Cigar","10 minutes","Mr. Martin in 1955 has encounter with cigar shaped object in 1955","12/2/00"
"8/14/55 01:00","Madisonville","KY","Light","unknown","traveled 50 miles with no driver after being the light","10/31/03"
"8/8/55 01:00","Independence","MO","Fireball","several hrs.","Flaming ball of light making right angle turns seen from front porch on a hot summer's night.","5/15/06"
"8/6/55 19:00","Newtown Square","PA","Circle","4 seconds","A round object going from bottom to top of moon in 4 seconds","12/12/11"
"7/15/55 22:00","Ringold","LA","Light","2 min. max","As a young boy at church summer camp my friend and I were sitting on the steps of the main dining hall talking. I looked up in the sky","10/30/06"
"7/15/55 14:00","Woodland Park","CO","Oval","10-15 sec.","Orange disk in night sky","10/31/03"
"7/1/55 22:00","Dierks","AR","Cigar","10 seconds","Cigar-shaped craft, 8 feet long with flashing liglhts, hovering above ground","4/16/05"
"7/1/55 14:00","Carnation (on Tolt River, Cascade Mts.)","WA","Disk","5-8 minutes","1955 daytime sighting of a saucer craft by a family of four while on a picnic on a Sunday in the Cascade Mts. of Washington.  The famil","4/15/00"
"6/30/55 21:00","Dumas","TX","Light","10 minutes","1955 - Air Force jets pursue lights over small Texas community.","4/16/05"
"6/30/55 21:00","Morehead City","NC","Disk","5 minutes","Mid 1950's Saucer in North Carolina, Multiple Witnesses.","4/11/14"
"6/30/55 13:00","Lubbock","TX","Cigar","2 minutes","Cigar shaped cloud and left very fast.","11/28/07"
"6/30/55 00:00","Quartz Hill","CA","Disk","seconds","childhood ufo","7/5/08"
"6/23/55 07:00","Beach Haven Park","NJ","Disk","1 minute","3 women hanging clothes saw a UFO come down over bay, hover for 30 sec.,then take off so fast it seemed to disappear.","1/28/99"
"6/17/55 07:00","Rantoul","IL","Light","10 Minutes","We had fallen out to the parking lot awaiting marching orders to go to (chow) it was still dark and we saw a light approaching from the","8/5/01"
"6/15/55 21:00","?????","AK","Fireball","20 mins","a bright light and a huge bang then we saw it hovering for 13 mins and it dissapired","3/21/03"
"6/15/55 21:00","Daytona Beach","FL","Fireball","2 minutes","Three fireballs moved slowly along the beach, then suddenly accelerated and flew straight up into the night sky and disappeared.","4/16/05"
"6/15/55 08:00","Youngstown","PA","N/A","1 min. (est.)","In Retrospect...I definately saw a UFO!","4/16/05"
"6/15/55 04:30","Missouri (northwest part)","MO","Light","5 min","I will never forget this this experience. The light is burnt into my memory liked it happened only this morning. I am now 54 years old.","3/21/03"
"6/6/55 01:00","Pensacola","FL","Light","5minutes","orange fireball .","12/12/09"
"6/1/55 20:30","Clinton","TN","Egg","5 or  6 minutes","Egg shaped craft landed on lonly country road, seen by a family of five.","5/14/02"
"6/1/55 17:00","Martinez (outskirts)","CA","Circle","30 minutes","We observed a large object aprox.size &quot;football field or larger&quot; aproach us 45mph make 90 degree turn. color &quot;red glowing ember&quot;.2000 f","2/16/00"
"6/1/55 15:29","Cincinnati","OH","Disk","approx. 1-1/2 min","June 1955.  Bronze saucer/cylindrical craft; approx. 3:30 p.m., no life form sited.","6/18/03"
"6/1/55 02:00","Bagley","MN","Circle","2 hours","I was 5 years old at the time, family of 4 told they would remember nothing. I managed to break free of the (mind) control just before ","5/24/99"
"5/15/55 03:00","Warrington","FL","Fireball","5 minutes","fireball into pensacola bay","2/1/07"
"5/1/55 15:00","Holbrook","MA","Egg","1 minute","I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends.","4/16/05"
"3/1/55 17:00","Santa Rosa","CA","Disk","~10 minutes","Large 200' plus  disk shaped object observed over Santa Rosa in 1955. News Paper account missing.","2/20/15"
"2/15/55 19:00","New York City (Brooklyn)","NY","Light","5 MINUTES","TWO BRIGHT STAR SHAPE OBJECTS AT 700PM GOING FROM SOUTH SKI TO THE NORTH AT HIGH  SPEEDS NO SOUND","1/10/09"
"1/27/55 13:30","Odessa","TX","Other","1 Minute","Apache heli flying 300-500 feet above ground seemed to be following something","2/4/16"
