"Date / Time","City","State","Shape","Duration","Summary","Posted"
"7/15/44 13:00","North Tampa","FL","Cylinder","3 or 4 minutes","A black cylindrical object appears over P-38s dog fighting","8/5/01"
"7/1/44 20:00","South Kingstown","RI","Sphere","4 minutes","This event was related to me tonight, 29 December 2008, by a carpenter who is working at my house here in South Kingstown, RI.  After d","1/10/09"
"6/30/44 10:00","Ft. Duschene (near)","UT","Disk","10 minutes","Woman, 20s, sees round object near Ft. Duchesne, UT","5/15/13"
"6/1/44 12:00","Los Alamos","NM","Disk","1+ Hour","Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.","5/12/09"
"4/15/44 17:00","Saanich (Canada)","BC","Disk","2  min est.","THREE DISCS.IN TRIANGULAR FORMATION TRAVELING SW. AT APROX. 30 DEG.HORIZON FASTER THAN PROP.AIRCRAFT.THE DAY WAS CLEAR AND THE TIME WAS","8/1/03"
"4/2/44 11:00","Clovis","NM","Disk","1:30","Saw UFO in 1944 over an airbase in New Mexico, not very far from, Roswell.","4/16/05"
"1/1/44 12:00","San Diego","CA","Cigar","3 minutes","A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east","7/25/04"
"1/1/44 12:00","Wilderness","WV","Disk","3 weeks","Two related reports of possible predecessor to Roswell incident","7/8/04"
"1/1/44 10:00","Wilderness (near western MD)","WV","Disk","3 weeks","US fighter planes shoot down pre Roswell UFO then military scour crash site &amp; bury UFO remains at wilderness site","3/21/03"
