"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/25/85 22:00","Ridgefield","CT","Circle","1:00","Massive circular object hovering in the night sky, year 1985.","4/8/02"
"12/20/85 22:00","West Yarmouth","MA","Diamond","60 minutes","Unmoving object, diamond shaped with lights on top, bottom and around center.","12/23/02"
"12/16/85 19:00","Vallejo","CA","Triangle","30","A shaped object with amber/organge lights, not flashing moving very slowly without noise.  Almost hovering","10/30/06"
"12/16/85 18:00","Buckner","MO","Triangle","12 minutes","I saw a space object in December of 1985 near Buckner, Missouri.","6/12/07"
"12/15/85 23:00","Savannah (southeast of)","GA","Triangle","don't know","Stadium sized triangular craft with red blue and green lights hovered over trees in silence on Ga. night 1985 /6","9/9/04"
"12/15/85 17:30","Auburn","AL","Unknown","5 min. +","Bright lighted object 30 feet above me, rose, sped away, emitted shower of sparks in distance","5/11/05"
"12/5/85 05:00","Manaus-Amazonas (Brazil)","AL","Egg","10:00","this case happen to me and my brother my english is not so good but i will try to tell you ,what happen  that night. I was sleeping in","8/7/07"
"12/3/85 18:15","Walden","NY","oval","5 minutes","A brief account of the sighting that I hadon the evening of Tuesday, 3 December 1985,in Walden, NY.","1/28/99"
"12/1/85 14:00","Monterey Bay Area","CA","Formation","10 to 30minutes","Silver-grey balloon clusters at very high altitude, at high speed","5/15/06"
"11/26/85 04:30","Eatonton (near)","GA","Disk","1 hour","I was returning from deer hunting in PA. It was the Tues morn after Thanksgiving 1985 around 430 am. I was riding along Ga rt 441 south","11/2/04"
"11/25/85 00:00","Edna","TX","Unknown","4 minutes","nothing on military or commercialcould move that fast from a stopped position","1/21/08"
"11/20/85 22:30","Big Cane (Plaucheville area)","LA","Light","6 SECONDS","A bright light traveling east to west followed by a green waving light, followed by a smaller white light.  The objects were close toge","4/2/99"
"11/20/85 04:18","Cedar Grove","WI","Sphere","10 minutes","A large greenish Orb is sighted near Cedar Grove WI early in the AM 11/20/85 for aprox. 10 minutes by two witnesses","8/5/01"
"11/15/85 20:30","Vernon Valley","NJ","Other","5 - 10 minutes","An alien looking in at me from outside when I was 5.","10/11/05"
"11/13/85 20:00","Sacramento","CA","Formation","2 minutes","A glowing, moving line, going from W to E, which when observed thru binoculars resolved into disks.","1/21/08"
"11/10/85 19:00","Lou  Costello Recreation Center (Boyle Heights)","CA","Circle","20 seconds","It  was at night and dark, I had just completed coaching a flag football game. I was in the southeast corner of the  park and the park ","1/28/99"
"11/2/85 01:00","Patterson","NY","Cigar","15 min","As traveling North on Route 22, NY approx town Patterson, my son and I had stopped to see this object with colored lights, traveling ve","5/11/05"
"11/1/85 20:00","Plan","TX","Triangle","10 Minutes","Black Triangle over North Texas Circa 1985, 1986","12/12/11"
"10/31/85 20:30","New York City","NY","Disk","15 seconds","Disk Shaped object streaked across Central Park","3/21/03"
"10/25/85 22:00","North Hollywood","CA","Sphere","5 hours apprx.","4 luminous white balls rotating above our house.","8/5/01"
"10/25/85 01:00","Hawthorne","CA","Triangle","20 minutes","In 1985 during a meteor shower asked object to come my way if not a plane, and it did.","5/11/05"
"10/22/85 20:00","New York City","NY","Sphere","2min","I was very young at the time but i remember the account clearly, so dose my brother. It happend one night that my parents had a getogth","7/16/03"
"10/20/85 19:00","Moorestown","NJ","Oval","5-10 minutes","It was a very large oval shaped object/saucer shaped object making no noise and multiple lights, some on and some off.","6/18/03"
"10/20/85 05:00","Throop","PA","Oval","hours","5 nights of peculiar light with mini lights going to and fro.","12/23/02"
"10/18/85 17:44","Bowie","MD","Light","now","I was on here in 2012 it is 446 am right now I am sitting in my room looking at this greenish blue light in the sky I don't think it's","11/6/14"
"10/15/85 22:00","Camden","SC","Disk","5-10 minutes","Saucer shaped the length of a football field","10/30/06"
"10/15/85 20:00","Hartford city","IN","Triangle","10 minutes","Triangle crafts over Blackford Co.","10/28/02"
"10/15/85 19:00","Hixson","TN","Other","15 minutes?","My friend and I saw three orange-red circles in a linear fashion in the sky one evening which was not moving nor making any sound.","2/14/06"
"10/15/85 07:00","Cleveland (Massilon Rd.,  Montrose area)","OH","Diamond","15 seconds","Driving on rural road AM. Cant rember month but there was no leaves on trees.  I saw a &quot;kite shaped object&quot; about the size of a two sto","9/19/02"
"10/15/85 00:00","San Ramon","CA","Disk","5 mins","In 1985 I saw a silver saucer directly over my house in California.","5/2/11"
"10/12/85 23:45","Swansboro","NC","Disk","23:45 - 23:50","My sister and I observed a disk for about 5 minutes hovering approximately 120 feet away.","12/2/00"
"10/1/85 00:00","Brandon","FL","Triangle","15 min","triangle SHIP 60 to 80 feet high,SPEED 3 TO 5 MPH,I SAW IT ALL,....................","2/24/07"
"10/1/85 22:45","Lawrence","KS","Sphere","N/A","Red Light seen in Lawrence, Kansas, during Johnny Carson's Monologue","1/10/09"
"10/1/85 21:30","Santa Margarita/Atascadero (between, Hwy 101)","CA","Other","2 !/2  min.","we were driving north on hwy 101 from san luis obispo to atascadero, when from the west came a &quot;ufo&quot; traveling east, passing over the h","6/23/99"
"10/1/85 21:30","Jefferson","OH","Triangle","1 hour","Three lights,possibly single or part of object hovered over treeline changing color,and shape.","12/2/00"
"10/1/85 05:30","Holton","MI","Light","3-4 minutes","Unknown light makes 90 degree turn and disappears.","5/11/05"
"10/1/85 05:30","Monroe","NC","Sphere","5 min","Years ago, my husband's aunt and I witnessed something very strange on the way to work early one morning. It was about 5:30am and we we","11/28/07"
"9/30/85 06:00","Amherst","MA","Rectangle","less than 10 seconds","Drum like Object with Vertical Rectangle Light Panels.","12/20/12"
"9/28/85 18:30","Sparta","WI","Circle","19:45","this object  was spherical, luminous,slowed down,and fast when it left.","10/30/06"
"9/26/85 21:25","Austin","TX","Chevron","20 min.","Chevron flew 5 mph, 150 yards from me, 200 feet off the ground.","1/21/08"
"9/20/85 16:00","Coconut Creek","FL","Disk","4 minutes","Two ships, 500 feet away, over Tradewinds Park and as large as 2 to 3 football fields each","6/18/03"
"9/15/85 23:00","Green River (No. of)","WY","Light","15/20 mins.","I saw unexplainable lights in the same area &amp; the same time frame that livestock was being mutilated.","7/29/00"
"9/15/85 21:15","Annandale","NY","Oval","10 min","Late summer 1985 large object hovering over Annandale NY","10/31/03"
"9/15/85 19:00","Beacon Falls/Naugatuck","CT","Light","5min.","lights moving very slow with no noise approx. 300 yards away","10/8/07"
"9/15/85 03:00","Guelph (Canada)","ON","Oval","1 minute","guelph, canada, 1985: five unusual objects in the sky.","1/11/02"
"9/14/85 22:00","Downingtown","PA","Disk","2 minutes","Huge hovering ufo above home.","1/21/08"
"9/12/85 23:43","La Veta","CO","Circle","6 seconds","Well what happened was when I was about 5 I was coming back from a trip from my grandparents. I was looking out the windown and it was ","6/2/98"
"9/12/85 16:10","Kaunakakai","HI","Egg","3 minutes","Silent egg-shaped golden-copper object","12/23/02"
"9/6/85 14:45","Monroe","NY","Disk","20 seconds","A light blue rigid disk object with dome decended in an out of control, flip-flopping pattern about a mile from my point of view.","4/23/15"
"9/5/85 02:15","Rutland","VT","Triangle","80 sec","The light the triangle shape no sound, even a hotair bollon make noise","12/2/00"
"9/5/85 01:30","Juneau","AK","Circle","2 hours","My Brother and I believed we saw something that sped up time with light's from a ship. While we were in transit with a Vessel to Seattl","4/26/99"
"9/1/85 21:00","Wappingers Falls","NY","Formation","unsure","1st of 2","7/1/02"
"9/1/85 19:00","Waterbury","CT","Oval","5 Minutes","Waterbury, CT 1985. Large UFO Hovers over Holy Land off RT 84 and downtown area for minutes Seen by many.","10/31/08"
"9/1/85 13:30","Pendleton","OR","Rectangle","3 minutes","rectangle falling turning and flipping end over end","9/2/05"
"9/1/85 09:00","Rockland/Westchester Counties","NY","Disk","hours","UFO hovering for hours over Indian Point Nuclear Reactor -- reported live on local radio (WRKL) with reporter and sheriff's deputies in","1/28/99"
"8/30/85 21:30","Riverton","UT","Cigar","15","Noticed a green light coming from the West Mountains directly over Kennecott copper mine.","9/2/15"
"8/28/85 02:30","North Bay (Canada)","ON","Disk","20 minutes","A very close encounter near North Bay, Ontario. It was totally silent and so close I could have hit it with a rock.","7/8/04"
"8/25/85 22:30","Allenspark","CO","Light","60 seconds","An bright white light flashes 10 times.","11/11/13"
"8/20/85 22:00","Friendship","NY","Rectangle","5 minutes","massive silent object.","4/18/12"
"8/20/85 21:00","Kelseyville","CA","Light","30 minutes","All craft were spotted in lake county,  california  in a span of about 20 years","10/31/08"
"8/20/85 19:30","Hamilton","OH","Oval","5 min.","Disk hovered over Hamilton. I viewed from Rt 4 on a hill overlooking the city. Blinking white lights.","12/7/06"
"8/20/85 01:00","Tarryall Reservoir","CO","Sphere","15 seconds","Friend saw and alerted me and my wife to an object that moved eratically in the sky.","2/16/99"
"8/20/85 00:00","Levittown","PA","Triangle","5 min","Low flying, large triangle having fun, playing with us.","7/8/04"
"8/19/85 20:30","Plevna (Canada)","ON","Sphere","5 minutes","Unidentified Black Sphere","2/14/10"
"8/16/85 19:00","Columbia","AL","Other","1.5","&quot;I don't know what the hell that is&quot;","7/13/05"
"8/16/85 18:00","North Platte","NE","Rectangle","35-40 minutes","Massive UFO at Union Pacific Bailey Yard.","12/5/16"
"8/15/85 23:00","Garden City","SC","Circle","2 hours","6 equal size round amber colored lights equal distance apart, stationary for at least 2 hours.","2/8/11"
"8/15/85 21:30","Houston","TX","Triangle","1 minute","Enormous triangular craft. No lights, no noise.","10/12/01"
"8/15/85 20:00","South Nags Head","NC","Triangle","20:00-20:30","While walking on beach, two teenagers witnessed football-field-sized triangular craft over water from distance of approx. 50 feet.","1/28/99"
"8/15/85 20:00","Eau Claire","WI","Cigar","5 minutes","bright light graduating from middle of craft from dim to bright at top. two strong outboard lamps","4/14/09"
"8/15/85 13:00","Ramona","CA","Formation","10 to15 min","3 bright shiney luminecent like objects houvering in the horizon over san diego 1985.","12/19/03"
"8/15/85 12:00","Winnemucca (north of)","NV","Other","7 minutes","Big black crystal w shiny top panel hovering high over mountain N of Winnemucca noontime Aug '85","8/30/13"
"8/15/85 03:00","Arlington","WA","Triangle","10-15 minutes","Close Call with Huge Triangular Craft","11/28/07"
"8/15/85 02:00","Sagamore Hills","OH","Rectangle","5 minutes","I saw a rectangular football field size object, covered underneath with dozens of colorful lights, gliding over the trees and road.","10/30/06"
"8/12/85 00:42","North Tonawanda","NY","Disk","under 1 minute","Sighting witnessed during Persaides meteor shower.","1/28/99"
"8/10/85 22:00","Kirkland","IL","Light","2to3 hours","one large light moved slowly across the sky at a very high altitude. four smaller lights seemed to come from within the large light as ","10/28/02"
"8/5/85 20:00","Dayton","VA","Circle","5 minutes","Baseball size yellow ball of light right outside my window, dancing, then rapidly shot into night sky.","11/6/15"
"8/5/85 00:00","Houston (Canada)","BC","Light","approx: 30 seconds","HBCCUFO CANADIAN REPORT:  It split into two balls of light and each ball of light &quot;shot&quot; off at an incredible rate of speed.","3/17/04"
"8/1/85 22:00","Wilburton","OK","Other","15 MIN","WE SAW AN OBJECT THAT LOOKED LIKE THE WAHINGTON MONUMENT MOVE VERY SLOWLY ACROSS THE SKY","12/3/04"
"8/1/85 20:00","Black Diamond","WA","Other","15min","Object landed in our field,some type of persons on board looking cloned or identical with unpigmented white skin.","6/18/04"
"8/1/85 13:00","Alexandria","MN","Triangle","Unknown","Blocked Memory","7/4/12"
"8/1/85 01:00","Cimarron","NM","Circle","fifteen minutes","three males observed a low altitude craft pass silently overhead and was then joined by three others in incredible aerial manuevers.  l","12/16/99"
"7/31/85 22:30","San Carlos","CA","Light","20 seconds","I observed a ball of light trailing Space Shuttle, then watched in astonishment as it streaked behind the hills.","3/21/03"
"7/30/85 23:45","Woodside","CA","Circle","10 - 15 minutes","We saw 6 or 7 different colored lights moving insanely fast and zig-zagging over the Pacific Ocean and Half Moon Bay.","3/19/09"
"7/28/85 15:30","Newcastle (Canada)","NB","Triangle","1 minute","I already reported and was asking to send more detail, but lost email address. I was operating a crane for Canadian National Railroad b","4/17/15"
"7/28/85 03:15","Arlington","TX","Cigar","2 minutes","a object entering the area at a 45 degree angle, turning the sky a bright green.  The object slowed down and finally went level and lig","10/2/99"
"7/24/85 21:00","Del Rio","TX","Diamond","2 minutes","Sighting in Del Rio, Texas","7/5/08"
