lat,lng,city,state,date,specs,shape,duration
28.0435143,82.4468401,North+Tampa,FL,7/15/44,A black cylindrical object appears over P-38s dog fighting,Cylinder,3 or 4 minutes
41.4475686,71.524667,South+Kingstown,RI,7/1/44,"This event was related to me tonight, 29 December 2008, by a carpenter who is working at my house here in South Kingstown, RI.  After d",Sphere,4 minutes
40.2880155,109.8545901,Ft.+Duschene+(near),UT,6/30/44,"Woman, 20s, sees round object near Ft. Duchesne, UT",Disk,10 minutes
35.8800364,106.3031138,Los+Alamos,NM,6/1/44,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,Disk,1+ Hour
48.4592626,123.3767223,Saanich+(Canada),BC,4/15/44,THREE DISCS.IN TRIANGULAR FORMATION TRAVELING SW. AT APROX. 30 DEG.HORIZON FASTER THAN PROP.AIRCRAFT.THE DAY WAS CLEAR AND THE TIME WAS,Disk,2  min est.
34.4047987,103.2052272,Clovis,NM,4/2/44,"Saw UFO in 1944 over an airbase in New Mexico, not very far from, Roswell.",Disk,1:30
32.715738,117.1610838,San+Diego,CA,1/1/44,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,Cigar,3 minutes
38.147661,80.8322428,Wilderness,WV,1/1/44,Two related reports of possible predecessor to Roswell incident,Disk,3 weeks
