lat,lng,city,state,date,specs,shape,duration
39.4575994,77.748882,Sharpsburg,MD,12/12/48,"Small UFO at 100',  airspeed less than 20mph, absolutely silent,  saw crew, normal, white uniforms.",Circle,3 minutes
38.87894259999999,86.0419247,Brownstown,IN,11/7/48,UFO captured during the 1948 Centennial Parade - Jackson County Indiana - 11-07-48,Disk,unknown
28.0394654,81.9498042,Polk+City/Lakeland,FL,10/14/48,"I, WAS DRIVING NORTH ON STATE ROAD 33, @ 50 MILES PER HOUR. SAUCER APPROACHED FROM THE SOUTH, WITH EXTREMELY BRIGHT LIGHTS, THAT DID NO",Disk,25 minutes
40.0792766,75.3015714,Conshohocken,PA,8/15/48,"my cousin (female) and friend (male)  myself (male) app. age 10-12 yrs just finnished playing ball, laying on ground on our backs looki",Oval,15sec
40.6781784,73.9441579,New+York+City+(Brooklyn),NY,8/1/48,"A round overing craft over neighbors roof, emitting a roaring sound , observed fire like a jet engine beneath",Circle,10 minutes
34.4480495,119.242889,Ojai,CA,7/15/48,"UFO sighting in Ojai, CA in 1948",Light,15 minutes
39.2903848,76.6121893,Baltimore,MD,6/30/48,Two UFO&quot;S  in flight over Baltimore leaving trails no sound that influence me.,Oval,8 sec
38.6575689,81.8353439,Jim+Ridge,WV,6/30/48,Wreckage found on diary farm in 1948 in rural West Virginia.,Unknown,unknown
35.6678203,101.3973876,Borger,TX,6/15/48,Dull silver disk flying west at incredible speed making no sound above swimmers in pool.,Disk,8-10 seconds
39.078988,85.7188168,Scipio,IN,5/10/48,Round red glowing ball going west in Northern sky.,Sphere,10 seconds
38.9779531,122.8394375,Kelseyville,CA,4/30/48,This was the beginning of a life long visits from UFO`s on our family. My Mother brothers report sighting UFO too.,Disk,unknown
