lat,lng,city,state,date,specs
26.1420358,81.7948103,Naples,FL,3/18/17,Orange red and white light no sound very slow moving paused 2 times then vanished clear night no cloud cover. ((anonymous report))
27.5875357,82.4250941,Parrish,FL,3/18/17,"Large, orange, circular object moving very fast, pauses and hovers in place.  ((anonymous report))(NUFORC Note: ((Missile launch.  PD))"
26.7153424,80.0533746,West+Palm+Beach,FL,3/18/17,"Suddenly appearing from the NW horizon a trail of fire, then the intensity of light dimmed.  ((NUFORC Note:  Missile launch.  PD))"
30.3321838,81.65565099999999,Jacksonville,FL,3/18/17,Circle shaped bright orange type craft moving S to N; no noise no blinking light.  ((NUFORC Note:  Missile launch.  PD))
27.816415,80.4706078,Sebastian,FL,3/18/17,Orange circular object observed over ocean for approximately 10 minutes.  ((anonyouns report))
26.5867358,80.05198589999999,Lantana,FL,3/18/17,"Something strange in the sky last night 03/18/17, at around 8:15 pm..  ((anonymous report))((NUFORC Note:  Missile launch.  PD))"
26.5867358,80.05198589999999,Lantana,FL,3/18/17,"I saw something strange in the Lantana, FL sky last night around 8:15-8:30.  ((anonymous report))"
34.0659329,84.6768796,Actworth,GA,3/18/17,"While driving to cook out, I noticed a black box.  Thought it was plane but as I got closer to it I was a cube."
27.2730492,80.3582261,Port+Saint+Lucie,FL,3/18/17,I watched an orangish orb slowly move across the clear night sky.
37.0047748,91.4143024,Bartlett,MO,3/17/17,Been seeing different lights as much as 7 at a time around my area in Missouri for about a year now.
61.5813889,149.4394444,Wasilla,AK,3/17/17,Three red lights in NNW over Talkeetna Mountains moving south for a few minutes eventually fading.
32.2704245,97.17917589999999,Grandview,TX,3/17/17,I wish these things would go somewhere else.  Getting more obvious in their actions.
39.114053,94.6274636,Kansas+City,KS,3/17/17,Four Fast Moving High Flying Light Objects Moving From East To West Above Kansas City
39.114053,94.6274636,Kansas+City,KS,3/17/17,Four Light Objects Moving Fast from East To West over Kansas City 3/17/2017 9:45 pm
30.35825059999999,90.06563109999999,Mandeville,LA,3/17/17,Two orange orb/spheres witnessed separately an hour apart by two family members.
35.9250637,86.8688899,Franklin,TN,3/17/17,Flickering lights moving quickly across the sky.
41.2956937,74.7839936,Montague,NJ,3/17/17,((HOAX??))  Many dancing orbs across the night sky.  ((anonymous report))
43.0717552,70.7625532,Portsmouth,NH,3/17/17,Triangle shape craft with 5 points of light.  ((anonymous report))
33.9533487,117.3961564,Riverside,CA,3/17/17,"I was driving N on I-215 and my 9 year old son shouted from the back, &quot;Mom, mom what the heck is that?&quot;"
31.4701766,84.117684,Putney,GA,3/17/17,"I was sitting in my truck and notice something in the sky.  It was low, silent and had a red light in the the middle with white lights."
39.0839973,77.1527578,Rockville,MD,3/17/17,"Two UFOs over Rockville, MD.  ((anonymous report))  ((NUFORC Note:  Possible sighting of stars, we wonder??  PD))"
47.83833689999999,100.9334809,Ruso,ND,3/16/17,((HOAX??))  Perpendicular objects admist in night sky.  ((anonymous report))
42.4030613,85.414341,Gull+Lake,MI,3/16/17,Bright light in the sky that started as big light in the sky that had some movement to it.  ((anonymous report))
44.9428975,123.0350963,Salem,OR,3/16/17,White flashing explosion.
47.30732279999999,122.2284532,Auburn,WA,3/16/17,Multiple red flickering lights.
33.4255104,111.9400054,Tempe,AZ,3/16/17,"Unusual military helicopter activity over east Phoenix, AZ, valley.  3-16-17.   8:12 pm.  ((anonymous report))"
33.3061605,111.8412502,Chandler,AZ,3/16/17,3 bright red lights in triangular formation.
32.3199396,106.7636538,Las+Cruces,NM,3/16/17,Driving on Baylor Canyon Rd towards University Ave in Las Cruces outskirts. I spotted a light/orb reddish in color but variating bright
32.83455,96.74280519999999,Dallas+(Lakewood+area),TX,3/16/17,"Approximately 630 am, very dark outside. Saw flash/ball of bright light. Bright enough to light the edge of the neighborhood to where i"
37.2089572,93.29229889999999,Springfield,MO,3/16/17,"Westbound I-44 flatbed, hauling typical disk shaped saucer.  ((NUFORC Note:  Several other sightings of obj. posted.  PD))"
34.24287169999999,85.76857799999999,Sand+Rock,AL,3/15/17,"I have had nearly the same experience twice, 3 to 4 days apart.  The first time, I saw a bright white light in the sky exactly opposite"
29.9012437,81.31243409999999,St.+Augustine,FL,3/15/17,Huge flying triangle.
