"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/23/88 20:35","Ovid","MI","Formation","aprox 6 mins","3 spherical object formationwatched in night sky.","10/7/03"
"12/23/88 01:01","I-10 (in the desert)","TX","Unknown","unknown","While in between two other 18 wheel trucks going 60 mph, I lost thirty minutes and the third truck did NOT see me, when he caught up to","2/16/00"
"12/22/88 03:55","Santa Rosa (23 km. south of)","CA","Changing","2 hours","First off, I am a very skeptical person.  At the time of the sighting, I was a California Highway Patrol Officer for 6 years and very g","8/5/01"
"12/20/88 21:00","Miami to St. Paul (approx. 20 minutes North of)","IL","Changing","1.5 minutes","UFO Encounter on an Airline Flight approx. 20 minutes northwest of Chicago.","2/18/01"
"12/15/88 23:30","Liberty","NC","Triangle","1 minute","Large triangular object with white lights along the side.  Silent","1/22/00"
"12/14/88 09:00","Ohio City","OH","Disk","10 minutes","Huge craft with lights moving slowly about 20-30 feet off the ground","4/2/99"
"12/2/88 22:30","Hilo","HI","Light","2 - 3 Hours","7 lights observed around Mauna Kea, HI","4/26/99"
"12/1/88 23:30","Fort Lauderdale","FL","Circle","1.5minutes","turning into the street,we saw in front of us a huge yellow globe,it was about 200' ahead. decided to go around the block to get abette","1/28/99"
"11/30/88 04:30","Hickory Plains","AR","Unknown","5 minutes","UFO encounter or high-tech military aircraft?","12/2/00"
"11/28/88 23:00","Aurora","KY","Diamond","2 minutes","Hi 3 of us were out joy riding in our small ky town. It was a misty night early in fall. We came up too a stop sign at the junction of","3/6/15"
"11/27/88 21:00","Alamogordo","NM","Light","15-20 minutes","saw 5 objects doing amazing manuevers for 20 minutes","6/12/08"
"11/27/88 01:30","El Dorado Hills","CA","Unknown","10 minutes","drive-by close encounter","8/28/03"
"11/19/88 20:30","Sunnyvale","CA","Other","60 min. approx.","Figure-eights or infinity symbolism ?","7/23/03"
"11/19/88 18:15","Anaheim","CA","Circle","1-2 mins.","a disneyland area ufo 1988","10/12/01"
"11/19/88 18:15","Anaheim","CA","Disk","30 secs-1  min","i saw what i thought was a shooting star but then it dissapered only to turn itself upright and just hoover over the house tops. for se","8/16/02"
"11/19/88 01:30","Tecumseh","OK","Other","25 minutes","Hovering UFO 40 feet above my head","5/24/05"
"11/15/88 22:30","Scaley (outside Highlands)","NC","Disk","3 minutes","I was talking with an acquaintance outside a house on a cold clear night. As we talked, my attention was distracted by an airborn vehic","9/2/05"
