lat,lng,city,state,date,specs,shape,duration
33.5331639,97.5566935,Forestburg,TX,12/26/61,Round brilliant white object hovered and then slowly descended behind a hill in a remote area without making a noise.,Sphere,one or two minutes
27.996572,81.89996400000001,Bartow/Mulberry,FL,12/17/61,"after getting our attention the object approached us, we followed this object while it stopped and waited on us three times",Sphere,25 min
33.9163501,81.5132276,Leesville,SC,11/26/61,"It was an overcast day.  It was around 10am.  My passenger and I left Summit, SC heading toward Leesville, SC.  We saw an incredibly br",Flash,15 SECONDS
35.3732921,119.0187125,Bakersfield,CA,11/11/61,Round red glowing object in the night sky...changed colors......and did not seem to be very high......,Circle,10 minutes
28.0894599,80.5656079,Indialantic,FL,10/15/61,Unbelievably Close to the Ground Surface.,Oval,2 minutes
36.5951059,82.18874439999999,Bristol,TN,10/10/61,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he's still livi,Sphere,5 Minutes
36.0690258,79.4005756,Graham,NC,10/1/61,"3 flat, large  white lights in delta pattern, no sound, flying at tree-top level at 35-40 mph",Triangle,30 seconds
36.1626638,86.7816016,Nashville,TN,10/1/61,"In October 1961, a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes.",Disk,30 minutes
36.1539816,95.99277500000001,Tulsa,OK,10/1/61,"October, 1961, Tulsa Oklahoma: low altitude, slow, disk object(s); high speed turns, v. high accelleration.",Disk,2 minutes
41.6639383,83.55521200000001,Toledo,OH,10/1/61,Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere.,Sphere,2-3 mins.
41.2115023,96.6212604,Wahoo,NE,9/15/61,"Egg shaped craft near Wahoo, NE",Egg,5 minutes
41.6639383,83.55521200000001,Toledo,OH,9/1/61,"Watched light move over woods for several nights, encountered two small glowing figures, experienced time displacement.",Light,Several days
32.3530561,84.9552211,Fort+Benning,GA,9/1/61,a bright silvery on edge object was observed by my father with at least 3 witnesses. it was observed &quot;hanging&quot; in the sky over Lawson F,Disk,10'
39.2561691,84.417997,Evendale,OH,8/30/61,This UFO event occurred in August or Semptember of 1961.  I wish someone could shed some light on this matter.  A lot of time has passe,Unknown,10 to 15 seconds
49.8879519,119.4960106,Kelowna+(Canada),BC,8/21/61,((HOAX??))  Reddish orange pulsating star.,Changing,10-20 seconds
