"Date / Time","City","State","Shape","Duration","Summary","Posted"
"10/19/31 06:30","Bethpage","NY","Light","10 seconds","I looked up to the South sky and saw a round white light traveling east in an S-like pattern.","1/26/15"
"6/1/31 13:00","Abilene","KS","Disk","30 min. approx.","This is a what my mother related to me regarding an experience my grandparents had.  They did not tell anyone for 20 or more years beca","2/14/06"
"2/15/31 14:00","Holyoke (6-8 miles southwest of)","CO","Oval","1minute","In the winter of 1931, I saw a flying machine (UFO) as I was riding on a horse in the draw of a pasture.","6/18/04"
