"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/78 00:30","Hopewell","NJ","Disk","30 mins","December 31, 1978 at 12:30AM - Object hoovered over my parked car for about 10 minutes and was about 100-150 ft above my car. Estimate ","4/8/02"
"12/23/78 22:00","Indianapolis","IN","Disk","2 min.","Two disk-shaped craft hovering over city night , forms defined by red, successive lights illuminating edges, suddenly shoot skyward","6/4/04"
"12/23/78 21:30","Valdosta","GA","Chevron","1.5 minutes","Warm December night two days before Christmas, while standing in my landlords backyard watching the goings on in the chickencoupe with ","7/5/99"
"12/20/78 19:00","Helmetta","NJ","Circle","seconds","It hovered , sprinted across the sky. Hovered again. Disappeared.","2/1/07"
"12/20/78 18:00","Seattle","WA","Disk","5-10 minutes","UFO Sighting in December 1978 in Seattle, WA.","1/22/04"
"12/20/78 17:00","Huntington Park","CA","Disk","20 min.","My Father and I watched a silver object, shaped like a diamond on its side.  It hovered overhead then slowly moved to the right, then d","3/7/98"
"12/15/78 20:00","Sisters (near)","OR","Other","possibly 4- 5 seconds","neon multi-colored jellyfish type hovering object in Oregon late 70's -first report of this incident","9/2/05"
"12/15/78 14:00","Lake Don Pedro","CA","Rectangle","4 seconds","From a sideview looked like very large dark rectangles moving above the water very quickly,,no sound.","10/3/13"
"12/10/78 01:00","Mexico","PA","Disk","hour +","Four silvery disk objects observed","4/2/99"
"12/9/78 19:00","Ringwood","NJ","Triangle","3minutes","Triangular aircraft sighted from Virginia to NY State in '78","4/16/05"
"12/1/78 01:30","Edison/Asbury Park","NJ","Other","hours","was follow by object in edison, abducted for 4 hrs. returned to asbury pk saw craft on ground and in sky changed my life.","4/22/03"
"12/1/78 01:00","Rockland County","NY","Unknown","15 minutes","Dream of alien attack with &quot;stun&quot; tripod","2/1/07"
"11/30/78 08:00","Deer Park","WA","Disk","5 min.","My mother and father in-law, My wife,our two boys,(4th &amp; 5th grade) and myself observed a very bright green light through the kitchen w","11/20/02"
"11/29/78 03:00","Mt. Rainier National Park","WA","Unknown","6 Hours","FIRST TIME REPORTED Late November, 1978 Mt Rainier National Park &amp; Ashford. Double Sighting, 6 Hours","8/7/07"
"11/28/78 18:00","Arvana-Lamesa","TX","Disk","15 Min","UFO over Lamesa, Texas cotton gin","10/30/06"
"11/27/78 20:00","Ukiah","CA","Sphere","10 minutes","UFO over Ukiah, sphere with beams coming out from it...then I forgot the entire sighting until I saw a report in the paper","1/17/04"
"11/27/78 19:00","Ukiah","CA","Sphere","10 minutes","1978 sphere inside cloud over Ukiah Valley, Ca  beams of light radiated out from it after a few minutes","5/15/13"
"11/27/78 19:00","Baileyville","ME","Light","3 hours","My ex and I was coming home from his parents house and I was about ready to give birth to my first son.  We stopped at a pull off a mil","3/23/04"
"11/25/78 22:00","Fredericksburg (northwest Hill Country))","TX","Light","1 minute","Blue lights fill room of house in rural Texas before abruptly vanishing","5/13/12"
"11/21/78 23:45","North Branch (south of)","MN","Rectangle","5 minutes","That thing was not built around here","8/5/09"
