"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/86 21:00","Houston","TX","Formation","15-20 seconds","Formation of four star like lights appearing and reappearing.","5/11/05"
"12/31/86 19:00","Mt. Airy","NC","Triangle","30-60 seconds","Roadside triangular UFO sighting resulting in missing time. 500 Lights On Object0: Yes","8/7/07"
"12/31/86 19:00","Mt. Airy (near)","NC","Formation","20 seconds","We were driving south on Hwy. 52 when we saw 3white lights in a triangular shape ascend from thetrees to the left of the highway and ho","6/2/98"
"12/31/86 18:00","Kaneohe","HI","Cigar","00:05","A large, dark cigar shaped craft w/ lights","3/2/04"
"12/27/86 10:30","Pittsburgh","PA","Triangle","15 min","It was trianbular in shape. It was in Plum Boro Pennsylvania. Not really a ufo hot spot. I hovered there until we left after 15 minutes","11/26/03"
"12/24/86 22:00","Ocala","FL","Triangle","two minutes","Approximately 10:00 pm, saw a very large triangular (for lack of better word) shaped object traveling from southwest to northeast.  The","7/1/02"
"12/15/86 20:30","Attleboro","MA","Disk","2 minutes","large disc, no more than 80ft above our car, 4 witnesses, 2 full minute sighting","5/12/11"
"12/12/86 20:00","Pocahontas","AR","Light","2-3 minutes","What appears to be 2 comets suddenly shoots overhead and turns into red, pulsating lights in a random formation; hovers 2-3 minutes.","5/11/05"
"12/1/86 22:00","Ocala","FL","Rectangle","10 minutes","rectangular, transparent, huge object  with points of red lights at each intersection moving slowing and low through the night sky.","2/18/11"
"11/23/86 05:45","New Windsor","MD","Triangle","a little over a minute","I was hunting with my Dad on a farm near our house.  It was before dawn, and I was sitting by a tree, bored and looking up at the sky. ","1/11/02"
"11/21/86 18:30","North Laguna Beach","CA","Disk","6 min.","Pie pan bottom; disc top craft played with the airspace above Irvine ranch reveiling displacement of matter.","2/1/07"
"11/15/86 23:00","Plains","MT","Other","60 sec","Boomerang shaped black body, green lights motionless and silent.  Vanished after I came closer to it.","3/19/09"
"11/15/86 21:00","Savannah","GA","Light","3 to 5 minutes","I saw a &quot;star&quot; that moved about in a very strange, rapid manner the night sky over Savannah, Georgia late in 1986","6/18/03"
"11/15/86 14:30","Girdwood","AK","Sphere","2 minutes ?","25 feet from amber, orange orb [1986]  Alaska.","2/4/13"
"11/10/86 23:55","Grass Valley (outside of)","CA","Disk","2-3 minutes","50-ft saucer with 6 bright white lights shining down outside Grass Valley California","5/12/09"
"11/3/86 20:30","Arvada","CO","Sphere","less than 1 minute","3 large blue spherical objects spotted in Arvada, Colorado in late 1986","2/1/07"
"11/1/86 23:45","Martinsburg","WV","Oval","15 min.","bottom of a huge aircraft hovering directly over the yard.","10/30/06"
"11/1/86 22:50","Landaff","NH","Triangle","20 min.","triangle","4/1/01"
"10/31/86 03:00","Riverdale","GA","Other","3 minutes","Many witnesses to ufo sighting","3/19/09"
"10/30/86 13:30","Decatur City","IA","Triangle","2 minutes","static electric shocks felt on the short hairs of my body","2/14/08"
"10/26/86 13:30","Decatur","IA","Triangle","10 seconds","It continued on straight path about 100' in air for about 8 seconds.  then went straight up for about 2 seconds and out of sight.","1/28/99"
"10/22/86 22:00","Selma","NC","Light","07 minutes","Six aircraft moving at high rates of speed in an acrobatic formation then dissapearing in a star burst","1/28/99"
"10/20/86 19:00","Raleigh/Garner","NC","Triangle","2-3 minutes","Large Triangle object in sky over North Carolina","2/1/07"
"10/17/86 18:00","Bartlesville","OK","Other","6-10 minutes","On a fall evening, after returning from a scout meeting I witnessed a object perform some extreemly unusual aerial feats, at at least p","5/24/99"
"10/17/86 17:00","Eglin AFB","FL","Disk","3 minutes","My father and I witnessed a  UFO at Eglin AFB.","11/28/07"
"10/15/86 22:00","Onyx","CA","Fireball","4 seconds","friend and i were walking home on a dark night. there was a storm building, the cloud were very low. they were touching the mountain to","9/17/00"
"10/15/86 21:00","Fayettville","TN","Diamond","30 mins","a friend and i were riding home one night,and comeing through a patch of woods on each side of the road ,i glanced out the passenger si","8/5/01"
"10/15/86 19:20","Ridgecrest","CA","Disk","20 minutes","Saucer shaped UFO, lights, no sound, 20 minute observation","6/10/03"
"10/15/86 19:00","Petaluma","CA","Disk","30 minutes","Saw darting object in the night sky, move fast, stop, move fast stop. Then it flew  low over my house and I heard the UFO.","7/23/00"
"10/15/86 19:00","Knoxville","TN","Disk","25 minuites","Object traveld along side my car for a mile a close range.","9/9/03"
"10/15/86 18:00","Bellevue (Yarrow Point)","WA","Disk","1/2 Hours","The saucer hovered over us, it was huge, orange and silent.","3/19/09"
"10/15/86 14:00","Pinson","AL","Circle","Abt. 10 Seconds","Redish orange , traveling slowly and quietly!","10/31/03"
"10/15/86 02:30","Salem","OR","Cigar","25 minutes","Very Close Encounter.","1/11/02"
"10/15/86 02:00","Orangeburg","SC","Cylinder","2-3 hours","Orangeburg, S.C. to Augusta, GA. - fall 1986 - lights following car - multiple witnessess.   Radio request for sighters","11/21/10"
"10/14/86 20:30","San Jose","CA","Light","2 minutes","Red, green and gold light amazes multiple witnesses over Santa Clara Valley","6/18/03"
"10/10/86 20:00","Holmes/Pawling","NY","Chevron","3 MINUTES","Football Field Sized Chevron with bright white lights on front, moving slowly with absolutely no sound","10/8/07"
"10/3/86 21:00","Cresson","PA","Disk","2:00","A UFO followed our car!","2/1/07"
"10/3/86 21:00","Bakersfield","CA","Circle","N/A","well it was about 9:00 at night.  i told my husband i was going to get stamps.  at that time it was in the parking lot of sears at the","1/17/04"
"10/1/86 22:00","N. Ridgeville","OH","Triangle","5 minutes","Black triangular craft with green lights hovering over the tree tops","12/16/05"
"10/1/86 22:00","Wheeling","WV","Light","10 seconds","Missing time after seeing something that looked like the Northern lights.","1/11/02"
"10/1/86 01:00","Klamath Falls","OR","Circle","45 minutes","BRIGHT OBJECT DROPPING &quot;FIRECRACKERS&quot; FROM IT - IT SEEMED TO KNOW I COULD SEE IT - VANISHED IN A TYPE OF EXPLOSION","4/27/04"
"9/22/86 16:00","Fredericksburg","VA","Triangle","3 minutes","I saw 4 orange non flashing glowing lights in a traingle formation.","9/30/13"
"9/21/86 06:30","Jasper","GA","Triangle","About a minute or two","09/21/1986, Jasper, GA, triangular shape, a minute or two of duration, 3 feet above ground hovering","8/24/10"
