"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/23/73 16:00","Colorado/Oklahoma (in flight)","CO","Disk","1-5 minutes?","Metallic disk with rotating orange lights seen from the window of a commercial aircraft between Dallas and Denver.","2/1/07"
"12/15/73 01:00","Olympia","WA","Diamond","appox 10 mins","Diamond shaped object flying south from Seattle towards Portland with 1 light on each corner and a red beam rotating from underneath.","2/11/03"
"12/12/73 21:00","Kirkland","WA","Triangle","3 min","MY WIFE AND I WERE DRIVING SOUTH ON I405 WHEN I SAW WHAT LOOKED LIKE A LARGE AIRCRAFT ON FIRE DESCENDING INTO THE SEATTLE AIR SPACE. IT","7/23/03"
"12/5/73 19:00","Glen Rose","AR","Light","20 minutes","Followed by a bright light .","9/24/03"
"12/3/73 19:00","Avoca","IA","Unknown","1 hour","Stationary bright white light that turned red and appeared to envelope the object once it started to move at a high speed.","2/18/01"
"11/25/73 22:00","Vienna","VA","Cigar","5 seconds","White cigar shaped object, very fast, no plausible explanation","10/28/02"
"11/24/73 20:00","Florida (central)","FL","Oval","5 MINUTES","While driving to NY with a friend,observed a oval shape craft 40' in diameter ,stood 30' of the ground.","11/26/03"
"11/24/73 19:25","Bothell (Seattle)","WA","Unknown","2 minutes","Saw a light moving very low and made a ninety degree turn at full speed.","12/12/14"
"11/23/73 19:00","Kapaa","HI","Cigar","10 minutes","Five of f us witnessed a cigar-shaped wingless aircraft with a light shining inside of its windows hover over us..","6/6/00"
"11/15/73 23:00","Talahassee (Interstate 10 east of)","FL","Light","10 minutes","I almost had a close encounter of the third kind.  Have unique scar on right knee.  Can't remember any enjory","12/7/06"
"11/15/73 18:00","Colbert Heights","AL","Disk","5 minutes","Hovering object with circulating yellow and green lights slowly began to move before attaining hyper speed from virtual dead stop","11/3/05"
"11/15/73 17:30","Key West","FL","Disk","20-30 seconds","Saucer craft with red/green alternating lights on its midsection seen within 500 yards, travelling slowly at first, then vanishes","7/1/02"
"11/11/73 19:00","West Chester","PA","Disk","three minutes","I lived near a general aviation airport so I thought that I was witnessing another aircraft. At dusk, it came towards me with a constan","3/21/03"
"11/10/73 20:00","Boone","NC","Disk","30 minutes","Landing lights,lights around the object top and bottom, no noise,very fast and hovered.","5/27/03"
"11/9/73 01:00","Orange County","CA","Oval","40min","1973  A 40 Minute Daytime Viewing Of A BlackHole In Orange County California Skies","2/18/01"
"11/1/73 21:00","Viking (Canada)","AB","Sphere","N/A","First hand UFO report from 1973","12/7/06"
"11/1/73 19:00","Huntington","NY","N/A","3 minutes","no sound, very close, translucent metal with shapless orange glow in center of craft.","8/5/09"
"10/31/73 19:30","Wilson","OK","Cigar","10 minutes","Metallic Cigar shaped Object","1/29/02"
"10/30/73 04:00","Green River","UT","Disk","15 seconds","mothership... coming in for a landing made the valley glow red... caused me to stop on I-70 to let it pass...","8/12/08"
"10/30/73 04:00","Green River (20 miles west of on I-70)","UT","Disk","15 seconds","Mothership coming in for a landing!","8/12/08"
"10/25/73 23:30","FROM SR 41 S. AND  MIAMI TRACE RD. TO SR 41S AND SR 753. IT ","OH","Fireball","15-20 MIN.","late in out. 1973 i witnessed a ufo, and to make it short. it like stayed with me. if i sped up. it, if i slowed down it did. this went","11/23/99"
"10/24/73 19:30","Centerville","OH","Circle","2 minutes","A white circular-shaped glowball at night appeared in front of me at my bedroom window. I felt a butterfly sensation in my chest and th","12/16/99"
"10/24/73 18:45","Centerville","OH","Other","45 min","soft-white glowball","12/3/04"
"10/24/73 00:00","Jacksonville Beach","FL","Changing","2-3 Minutes","You may be surprised that I am reporting this after 30 years. I remember the date clearly as I told myself I would never forget. I have","1/31/04"
"10/21/73 18:30","Baltimore","MD","Disk","8 minutes","&quot;Jupiter Two&quot;-like spacecraft, flew noiselessly, slowly just over the field in our backyard.","4/27/07"
"10/21/73 18:30","Baltimore","MD","Disk","5 minutes","Confirm sisters report.","5/26/16"
"10/21/73 17:30","Baltimore","MD","Disk","15 minutes","Oct 1973 Baltimore, Md  Discw/dome/portholewindows/interiorLight.  Noiseless, hovering, close by, huge","8/28/02"
"10/21/73 14:30","Federalsburg","MD","Disk","5 mins.","Saucer spotted in Federalsburg MD","6/10/10"
"10/20/73 23:30","Carthage","IN","Fireball","20 minutes","Fireball above tree line","1/21/08"
"10/20/73 00:00","New York City (Brooklyn)","NY","N/A","1/2 Hour","5-6 Star like lights moved single file across the sky 10/20/1973","3/19/09"
"10/18/73 20:00","Charlotte","NC","Oval","30 minutes","A large nocturnal bluish-green oval seen by tens of thousands.","1/19/05"
"10/17/73 23:30","Montgomery","AL","Light","15 minutes","Lights appear out of the woods and chase vehicle.","2/14/08"
"10/17/73 21:30","Warner Robins","GA","Cigar","unknown","Two UFO's sighted by thousands in Warner Robins, Georgia in 1973.","7/4/14"
"10/15/73 21:00","Waco","TX","Triangle","30 minutes","Close encounter of the 2nd Kind.","11/6/15"
"10/15/73 20:00","Millington","TN","Disk","20-30 minutes","3 Saucer shaped UFO's over Naval Air Station.  F-4 Phantom Scrambled.","11/11/13"
"10/15/73 19:30","Houston","TX","Circle","45 minutes","UFO hovers over Houston TX, fall 1973.","9/24/12"
"10/15/73 18:00","Englewood","TN","Disk","2 min.","They talked to me as a child.","3/21/03"
"10/15/73 17:30","Chazy","NY","Light","5 minutes","Exact location: 44 deg 52' 33.74&quot; North, 73 deg 28' 52.99&quot;, thanks to GPS and Google Earth (didn't have either back then). Macadam Road","7/16/06"
"10/15/73 16:00","Collierville","TN","Disk","5 minutes","Group of about 20 sees UFO on clear day for about 5 minutes in 1973 in SW TENN.","5/15/06"
