Date / Time,City,State,Shape,Duration,Summary,Posted
3/23/17 07:50,Asheville,NC,Cigar,2 minutes,Object gave off a bright flash of light and disapeared,3/23/17
3/22/17 22:25,Frederick,MD,Formation,4-5 seconds,A formation of lights in a checkmark pattern moving very fast across the sky.  ((anonymous report)),3/23/17
3/22/17 22:15,Dover,NH,Triangle,5 minutes,3 green flashing object in a star filled W sky of downtown Dover NH, random motion up, down, sideway; disappeared 3x. ((anon. report)),3/23/17
3/22/17 21:30,North Richland Hills,TX,Light,30 seconds,We came to sit out on balcony. We She was surprised that she could see so many stars. We saw a plane fly by. ((anonymous report)),3/23/17
3/22/17 20:00,Sheboygan,WI,Fireball,5-10 minutes,Object appeared ESE over Lake Michigan as an orange ball of light.  As we watched it it became brighter and began flickering.,3/23/17
3/22/17 07:35,Raeford,NC,Unknown,2 orange color lights app,((NUFORC Note:  No information provided by the witness.  PD)),3/23/17
3/22/17 01:00,Kansas City,MO,Formation,3 seconds,4 green dots.  ((anonymous report)),3/23/17
3/21/17 22:45,New Paltz,NY,Formation,10 seconds,7-9 lights crossing the sky in a haphazard formation.,3/23/17
3/21/17 21:30,Suffolk,VA,Circle,10 seconds,Looked out bathroom window saw a huge orange circle it sat on the sky for a few minutes before falling to the ground.  Was NOT a shooti,3/23/17
3/21/17 21:15,Brandon,FL,Triangle,2-3 minutes,Silent triangular UFO over Brandon, Florida.,3/23/17
3/21/17 21:14,Miramar,CA,Formation,5 minutes,Rapid blinking light; appeared to grow in size first just 1 light was visible then the formation became visible. ((anonymous report)),3/23/17
3/21/17 21:00,Framingham,MA,Light,10 minutes,Various bright lights in night sky..thought was helicopters but werent moving..objects just kept getting brighter &amp; brighter &amp; then the,3/23/17
3/21/17 21:00,Altoona,AL,Triangle,2 hours,My son and I witnessed 4 low-flying objects we heard the first and it had no strobes completely black low rumble then another w/ green.,3/23/17
3/21/17 20:42,Livonia,NY,Circle,30 seconds,As I was driving home, a large green circle appered far in the sky in front of me and shortly after sped  across the sky horizontally,3/23/17
3/21/17 20:15,St. Louis,MO,Fireball,10 seconds,Green fireball over St. Louis.,3/23/17
3/21/17 19:50,Southaven,MS,Fireball,90-120 seconds,My name is At 19;50/7:50 pm I observed a fire ball Moving thru the air very fast,from almost Due south to Due north..I was standing,3/23/17
3/21/17 19:00,New Orleans (80 mi. SE of; Gulf of Mexico),LA,Oval,40 seconds,UFO Gulf Of Mexico 80 miles southeast of New Orleans.  ((NUFORC Note:  Report from ship's officer.  PD)),3/23/17
