"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/31/13 00:00","Missoula","MT","Sphere","10 minutes","Spherical points of light disappearing at the same spot in the sky.","11/21/14"
"12/31/13 23:59","Midland","MI","Disk","N/A","UFO disk vary bright came low to groud 800ft in frout of me.","1/10/14"
"12/31/13 23:55","San Francisco","CA","Light","3 minutes","A group of tiny fiery red star-sized lights.","1/10/14"
"12/31/13 23:50","San Francisco","CA","Sphere","15 minutes","5 pink/orange lights rising over Bernal Hill in San Francisco.","1/10/14"
"12/31/13 23:50","Kihei","HI","Circle","10 seconds","Orange orb traveling in a straight line with a SE dir..  Happened above Kihei, HI, just before new year.  Object disappeared.","1/10/14"
"12/31/13 23:50","Las Cruces","NM","Other","20 minutes","5 orange glowing orbs forming triangles and lines.","1/10/14"
"12/31/13 23:45","Bush","LA","Light","4-8 minutes","New Year's Eve UFO.","1/16/14"
"12/31/13 23:40","Sarasota","FL","Light","1 minute","4 Strange lights fly across sky in Sarasota 12/31/13 just before midnight.","1/10/14"
"12/31/13 23:40","Fairborn","OH","Other","10 seconds","Three UFO's in triangle formation over the WPAFB sky.","1/10/14"
"12/31/13 23:40","Taylors","SC","Fireball","1-2 minutes","3 reddish-orange lights in the sky.","1/10/14"
"12/31/13 23:40","Pinellas park","FL","Light","15 minutes","Many orange and red lights traveling in formation.","1/10/14"
"12/31/13 23:30","Stockton","CA","Formation","5 minutes","Stockton UFO 2014.","1/10/14"
"12/31/13 23:22","Largo","FL","Circle","2-3 minutes","Bright orange circular craft, silent and fast.","1/10/14"
"12/31/13 23:10","Corvallis","OR","Circle","1 minute","2 amber lights dimming as ascending into sky.  Moving then stopping.","1/10/14"
"12/31/13 23:10","Mt. Pleasant","SC","Light","5-10 minutes","New Years eve ufos in Charleston, SC.","1/10/14"
"12/31/13 23:00","Huntsville","AL","Changing","N/A","Orange lights then triangle.","1/10/14"
"12/31/13 23:00","Lakeland","FL","Circle","10 minutes","5 orange globes moving in sync...no sound.","7/20/14"
"12/31/13 23:00","Cincinnati","OH","Other","2 minutes","2 Strange lights that disappeared.","1/10/14"
"12/31/13 23:00","Tampa","FL","Sphere","10 minutes","Glowing purple sphere remained stationary and then moved up and down until disappeared below tree line.","1/10/14"
"12/31/13 23:00","Fairbanks","AK","Light","2 minutes","Orange light floating in night sky.","1/10/14"
"12/31/13 23:00","North Bay (Canada)","ON","Light","5 minutes","Orange lights seend by 3 people Over North Bay, Ontario.","1/10/14"
"12/31/13 22:50","Flemington","NJ","Light","10 minutes","Bright Orange lights over Hunterdon and Mercer Counties.","1/10/14"
"12/31/13 22:30","South El Monte","CA","Sphere","3-5 minutes","Abnormal red sphere moving fast stoping and fading away into nothing.","1/10/14"
"12/31/13 22:30","Maricopa","AZ","Sphere","3 minutes","Big bright orange yellow ball moving from north to south, got smaller then disappeared.","1/10/14"
"12/31/13 22:30","Edison","NJ","Triangle","10 minutes","Four confirmed triangular bright orange objects travel and then dissappear above Edison, NJ USA.","1/10/14"
